"","V1","V2","V3","V4","V5","V6","V7"
"1","1","sad play come play treat fish walk food sad bike","see stay read run happy bird fish sad bike leash","bike drink food play fish play cat run run bike","ball play bird come happy sad play dog dog stay","bird drink play run bird stay play eat leash play","fish fish sad read eat come see sad cat run"
"2","2","read fish sad read run treat run ball fish bike","ball play eat walk stay food read sad ball come","read treat treat dog fish run sad drink run bike","read see cat stay leash fish run sad sad bike","food stay bike dog dog sad dog walk see drink","happy treat food bike run ball bird sad come see"
"3","3","treat walk bike sad drink run happy food cat treat","read fish dog bird stay play treat come happy food","run stay bird bike walk happy see come stay sad","stay run bike see stay happy food bird run bird","come bird bird dog food eat walk ball fish cat","dog ball cat treat food read dog bird run drink"
"4","4","come read fish happy run run play leash drink dog","come happy stay cat dog cat ball read walk sad","happy read drink read dog happy stay read play bike","read run run happy happy ball fish treat play play","play dog treat happy read play stay dog come bird","run bike see read dog dog ball ball leash ball"
"5","5","come ball leash come bird walk see read see drink","happy cat sad stay come come walk walk food food","treat drink read leash fish fish walk come sad treat","come food bird see food eat drink bike run read","drink read play bird eat fish bike read fish eat","drink happy drink come cat leash stay eat happy ball"
"6","6","bike stay walk cat sad treat sad see ball cat","eat bike come drink walk see run food read treat","eat see happy come treat stay come treat read treat","sad leash bird stay eat leash bike food fish read","come drink run ball cat fish eat read dog see","play bird play read stay leash cat food eat fish"
"7","7","come bird bike come bike cat leash dog drink leash","ball bike come run bird see run drink bike bike","fish food bird treat bike stay dog come fish walk","cat dog play see food food stay happy food eat","treat play see leash eat eat happy ball come come","happy walk happy dog see food run play leash leash"
"8","8","happy food run walk read drink bike happy food fish","sad read run ball play happy sad ball treat see","eat run leash play happy cat drink happy cat cat","walk bike stay fish treat happy read see leash stay","dog run happy food walk dog food sad stay sad","ball food come see food bike fish drink stay drink"
"9","9","play food read read dog walk stay food stay see","bike come ball fish food dog bike see leash read","stay bird see see happy see dog walk treat stay","read ball run play see stay eat see ball cat","drink fish read bike treat cat run fish stay drink","come bike food cat eat come leash cat food bird"
"10","10","leash stay see drink sad food sad sad see run","bike stay cat eat read drink read run sad read","see see drink read sad cat bird stay read cat","stay treat read ball come eat play walk drink ball","fish sad bird play come ball see sad bird food","happy bird leash bird eat leash play come walk fish"
"11","11","bird drink bike drink food leash drink play bird cat","walk stay treat ball drink sad play come leash walk","cat bird dog walk happy see food drink come run","play come sad read cat food see bird dog food","play drink read stay fish drink play bike sad sad","bird leash play drink read come drink stay play play"
"12","12","drink run come run come leash bike eat read walk","bike eat dog see play stay come see cat treat","drink food bird walk run bike ball bird read read","fish play walk treat food bird bird food stay food","bird run see drink sad sad happy bird walk treat","treat read walk treat treat dog treat come walk treat"
"13","13","eat food see happy sad stay leash fish bird come","food fish food drink bird ball happy fish cat play","cat run bird eat stay stay play come food ball","leash fish ball play walk bird walk treat bird run","run stay eat read happy eat come happy bird eat","bike food play dog treat bird bike treat play bird"
"14","14","read happy stay happy leash play happy fish see stay","cat sad treat bird run run fish treat leash stay","dog food ball fish run dog see food dog fish","dog happy dog food dog play fish play come sad","come fish run treat stay sad read leash drink stay","fish see see cat ball walk read sad bike run"
"15","15","food happy cat drink dog bike bike treat leash run","come see run food sad treat dog bird sad treat","bike play see bike dog come sad play happy fish","bike eat food see treat eat ball drink fish cat","run walk stay sad come run walk bike fish leash","treat see sad treat dog play drink eat leash fish"
"16","16","stay eat come run cat come happy ball stay drink","sad food play eat happy ball see food food ball","treat sad play leash dog come sad drink run see","read leash bird play bike see see drink sad treat","fish sad read see come read come ball fish bird","dog dog dog drink eat eat come food walk fish"
"17","17","sad eat play stay run treat bike fish stay run","come bike see see eat fish run bird come play","cat fish happy walk fish happy leash stay fish see","run fish see ball bike happy play ball leash drink","sad sad come food leash fish walk ball drink read","bird walk leash sad walk run read stay happy drink"
"18","18","bike fish sad walk run come sad leash come stay","eat bike see bird food ball come see read play","run happy treat come read read leash see bird sad","sad eat read eat treat eat leash ball food bird","bird bird leash come drink leash drink play eat food","leash ball happy run happy stay leash bike happy come"
"19","19","fish ball fish bird bike stay walk leash fish fish","bird come see bike come stay come walk stay happy","walk cat fish happy run play leash ball sad ball","walk happy happy happy sad food see drink sad bird","read run see treat bird happy read treat happy eat","sad eat bike ball happy fish fish run drink leash"
"20","20","come play walk walk bike read bird come cat treat","bike play ball play ball come play fish walk bird","play treat treat bird fish ball walk eat food run","drink stay cat cat drink happy see walk fish leash","leash food ball bike ball see treat eat leash see","dog happy bird drink come treat food happy play ball"
"21","21","eat play dog food happy come see see eat happy","see stay eat eat walk bike bird cat ball sad","play eat happy cat bike walk cat cat leash sad","come walk leash cat bird walk dog bird cat come","come fish play leash sad walk walk come walk dog","come drink treat come ball bike treat bird run read"
"22","22","bird happy run bird leash ball walk food drink fish","see bird food drink run bike stay happy food fish","leash sad happy bike leash stay read leash see drink","play see happy sad walk bike food treat bike food","bike food sad cat eat see bird run happy ball","treat leash play read ball drink bike sad run read"
"23","23","dog dog see food play sad leash ball treat eat","walk fish eat sad see eat stay bird food see","bird dog see walk treat ball run sad see eat","eat read play sad play leash stay fish food bike","read cat dog drink ball come walk happy bird bike","run treat leash eat see leash read come play run"
"24","24","walk eat treat happy sad food bike leash treat run","come happy treat stay food eat happy cat fish run","stay sad walk run come drink sad sad walk treat","fish come dog walk bird fish come see bird read","bird dog leash read walk bird leash leash stay eat","fish come walk happy eat sad read bird treat play"
"25","25","leash leash leash come drink happy leash food walk come","leash see eat sad treat stay bird see come play","see walk bird see eat sad stay come leash eat","run cat dog food fish happy eat happy leash ball","stay bird walk happy read ball bike food drink stay","fish fish leash see come walk dog stay drink run"
"26","26","dog bike read bird play stay read fish dog treat","treat bike eat treat food walk drink cat stay play","play see come fish sad come sad cat leash leash","sad stay bird bike play run stay ball sad food","leash leash happy bike sad drink walk stay fish happy","sad fish dog cat stay eat see run cat see"
"27","27","leash stay stay leash sad see dog come bike happy","dog eat ball eat bike drink leash dog run bird","happy dog food food read run sad leash treat play","ball eat bird food cat read ball play run see","run walk sad stay bird leash walk happy bird ball","leash stay treat stay sad sad leash drink cat ball"
"28","28","dog walk fish bike sad run eat read walk play","bird come happy treat eat drink ball sad dog walk","drink dog see bird stay come see bike see read","food run treat dog food ball eat fish eat come","leash leash stay happy treat treat fish see bird treat","sad drink fish drink run fish see drink food cat"
"29","29","dog come see read bird ball see come food food","leash sad stay fish play food run bike fish read","read leash food see read run bike ball sad see","fish cat run food run play happy see cat ball","food see eat drink dog ball dog run fish walk","walk ball walk food bird bike cat treat dog read"
"30","30","sad stay see walk stay bird stay cat eat read","leash sad ball fish stay happy stay walk eat fish","leash stay treat see food play leash food play see","ball fish bike food bike fish come leash treat stay","ball come cat stay read run sad see food run","ball read stay come dog eat happy sad cat run"
"31","31","see eat sad happy eat happy cat cat treat walk","cat walk dog ball bike food food cat drink dog","treat see bird treat dog ball run dog eat see","treat walk read treat ball bird play drink bike eat","bike stay fish stay eat leash sad come sad treat","walk come stay eat sad fish run treat fish come"
"32","32","ball ball bike cat run play food eat bird play","read stay dog stay play treat see sad bike bike","sad dog stay come food treat eat fish walk sad","see food drink dog fish see read dog run sad","play bike read bird treat cat cat treat eat food","fish bike leash stay cat treat sad treat leash bike"
"33","33","walk happy drink ball ball bike walk read fish cat","see eat sad see dog dog bike eat see dog","play read ball drink walk bird sad cat run drink","bird drink treat run read see leash sad run stay","run ball happy food see bike leash stay stay stay","see bike leash ball eat come treat run read stay"
"34","34","run stay sad happy dog see bike sad treat play","ball food fish run drink fish drink stay run treat","come bike play play happy ball leash leash play treat","treat food cat drink leash treat ball dog drink leash","eat walk fish ball stay bike read fish happy ball","food drink walk come bird drink treat treat ball leash"
"35","35","eat happy leash stay food drink come leash read come","run treat see bike stay leash sad read run fish","come sad bird drink come bike read dog fish bird","walk happy dog eat treat treat happy eat bike eat","bird stay bird dog stay happy fish bike eat food","happy drink happy see dog come walk run see walk"
"36","36","happy drink bike drink happy sad eat eat read come","read play leash happy happy cat eat leash food play","ball treat drink play food ball bike read play come","stay read run play run eat food sad fish read","dog run run bird fish fish sad eat eat fish","food come leash dog happy drink eat bike bird sad"
"37","37","fish fish treat cat walk sad play bird come eat","cat bike play cat bike stay dog sad dog play","see stay food drink sad see ball leash drink walk","cat read leash drink cat leash see come bird happy","stay eat treat fish play leash treat walk read walk","leash treat food dog sad see food read leash read"
"38","38","food come leash drink drink ball ball bike walk treat","leash play read stay drink play ball drink ball ball","food bike read see stay come play dog see come","come dog cat eat dog stay walk happy play stay","see come run eat come happy leash dog sad food","read bird walk dog drink food ball treat bird stay"
"39","39","sad stay walk happy come play drink fish leash read","leash see read drink ball walk see walk leash ball","dog run eat eat happy cat treat bird eat run","play ball bird come see read read come food see","sad play leash stay read bird come sad dog see","dog treat fish stay drink drink play play eat drink"
"40","40","come play stay fish walk fish walk run food dog","read fish bird come eat walk play fish sad read","food see dog cat stay cat happy leash walk treat","ball play happy ball fish drink leash treat run bird","play stay fish ball food walk dog read sad play","leash ball dog bird ball walk leash play fish cat"
"41","41","see treat bird cat eat fish play cat come see","bike come bike play treat stay happy play see walk","run bike stay bird food run eat ball play ball","treat eat leash stay bike sad read read eat happy","run happy ball walk food dog run food sad bike","play bike treat run food walk stay come fish cat"
"42","42","food sad read read sad come food run treat dog","treat food stay bike run treat happy treat ball treat","come ball drink happy run drink leash play fish bird","read fish bird treat ball food cat walk happy food","food bike come come sad bird play eat bird food","bike walk see leash happy run play leash bird sad"
"43","43","stay bird fish bird run stay bike walk bird drink","treat fish bird see walk dog treat see happy walk","happy walk happy drink come read see fish see sad","treat run eat treat bird run food food fish sad","play dog dog leash fish come cat walk fish run","ball drink sad sad eat ball fish cat stay food"
"44","44","drink see sad walk read eat read play food dog","stay come dog fish bike cat play leash treat play","bird eat fish play dog bike ball ball eat play","dog fish leash fish bird drink sad fish bike play","come cat dog play sad bird walk leash drink see","leash stay cat see food drink stay see sad walk"
"45","45","stay stay read happy ball leash run read bike bike","run read stay sad ball leash fish bird bird play","see read stay see play read treat come stay food","fish food sad bird come cat food run food run","food leash come ball drink see ball read food run","bird come run see see happy bike food come bike"
"46","46","sad ball ball stay food happy leash bird food see","see bike read come bike come drink stay walk fish","bike eat come bird ball fish walk read come drink","happy run sad cat treat happy treat cat come treat","bird dog fish run stay stay cat drink run walk","see treat food eat play sad walk leash bird see"
"47","47","food leash cat play eat run drink run stay bird","treat bike ball stay food treat come eat happy stay","fish run bike run food eat read fish treat stay","read ball come cat happy sad cat eat walk see","dog bird fish stay read fish play bird leash cat","dog leash dog eat bird see play eat fish stay"
"48","48","walk ball come drink bird walk sad come eat dog","drink play read sad treat happy walk ball sad walk","stay food ball read fish food run run see bird","leash stay come sad sad run walk ball treat run","happy eat see eat cat stay leash eat read drink","leash walk happy cat walk sad fish bird fish treat"
"49","49","cat bird bird food run drink dog play treat play","fish cat cat bird walk ball walk play bird happy","drink play ball dog ball leash happy eat walk ball","play happy play read fish dog dog bird read stay","drink cat read cat bird sad happy come run bike","fish drink sad drink happy bike happy fish run come"
"50","50","come stay bike eat treat walk sad come come play","leash bike bike food bike see walk treat bird walk","play sad fish see ball sad see see ball bird","happy bike food bird happy cat happy dog food happy","bike play cat see come leash eat leash bird stay","dog stay read fish ball bike leash run eat ball"
"51","51","gato salido cuenta luz cine cocina hola banco arte museo","happy play food cat come ball cat treat stay bike","stay food come dog leash happy eat food food play","leash see leash play ball stay happy see eat bird","see bird read play read come read happy walk see","come food food walk drink walk fish food play read"
"52","52","museo arte escuela cine escuela cine gato gato bueno salido","cat bike dog bird treat run bike cat fish treat","leash happy run treat cat treat walk happy play sad","food food run treat dog cat sad happy eat see","cat bike fish ball eat read bike eat happy bird","ball stay fish cat eat bike treat stay cat fish"
"53","53","salido perro cocina examen libro ave escuela examen luz cuenta","fish food see drink treat sad come dog ball run","eat walk sad dog cat bird fish food dog sad","run read leash drink bird come food ball food play","run run read fish eat food cat play stay happy","cat eat walk bike read ball happy eat treat sad"
"54","54","libro arte estudiar cine cine cuenta bueno luz ave libro","stay food stay see sad fish bike bird play food","walk bike stay stay come play eat read drink drink","ball eat come play bike leash see eat bike see","drink ball treat happy treat sad bird fish walk see","bike treat dog come food run leash food see sad"
"55","55","ave escuela gato estudiar museo estudiar leer banco banco salido","bike bike ball treat walk see cat bird happy treat","read bike cat cat run sad play stay bird eat","stay drink read bird eat run run cat leash see","run food happy read food bike fish stay read read","run walk treat eat eat read sad play come fish"
"56","56","cocina libro estudiar cocina arte ave perro hola cine arte","come read stay bike stay drink bird bird come ball","read see dog drink come dog read bird play ball","fish leash fish come fish food leash eat eat cat","happy bike stay ball happy run treat play food read","sad drink read run stay ball play see happy walk"
"57","57","hola hola examen cine perro ave luz estudiar museo gato","eat ball fish happy drink cat happy bike food bird","eat fish drink treat stay leash bike fish treat walk","read stay food eat see leash sad drink bike ball","eat see walk run sad happy read play food stay","run cat come ball walk treat ball happy sad read"
"58","58","banco banco estudiar gato gato aprender cuenta gato salido estudiar","stay happy run leash stay read stay bird play drink","happy walk dog happy walk fish stay come read sad","bird ball food come eat cat drink food walk fish","leash treat walk happy food read dog dog treat sad","cat leash drink drink drink play dog play leash treat"
"59","59","escuela salido gato escuela libro cine cine museo perro hola","sad sad play stay stay leash bird leash happy happy","fish bird bike drink sad ball drink dog walk play","eat happy bird fish happy bike come fish cat read","cat eat leash drink walk dog happy dog drink bird","walk fish bird food eat read food bird drink treat"
"60","60","examen bueno leer salido ave cine gato vino cine salido","eat leash dog ball eat leash happy see bike sad","leash fish fish run read come stay treat read eat","food see leash drink dog dog read see read cat","read leash drink walk leash run happy treat eat drink","happy walk stay leash walk drink leash play see treat"
"61","61","cine leer estudiar museo escuela cuenta cocina cocina aprender aprender","gato ave libro escuela cine bueno museo cocina cine cuenta","read fish run drink cat cat cat eat run drink","play sad run bike play ball cat stay leash come","food see food drink treat drink eat fish leash dog","stay bird stay eat treat come play leash walk walk"
"62","62","estudiar perro cocina gato banco leer arte banco vino gato","cocina museo cocina libro hola libro cocina leer museo vino","play bird ball food read ball leash bird stay read","stay bird fish bird bird drink happy stay come come","fish food treat ball food walk bird dog see see","dog happy play dog treat bird treat fish bike dog"
"63","63","perro cocina aprender gato luz vino vino estudiar vino escuela","gato luz examen escuela arte escuela cuenta hola ave arte","food dog read food play bird cat leash bike fish","happy come drink fish happy food sad read dog see","ball see run treat stay drink fish bird ball happy","cat dog drink drink cat read sad eat fish walk"
"64","64","arte libro ave hola hola libro vino bueno gato gato","salido banco estudiar escuela museo perro cuenta cuenta examen banco","stay cat sad happy food bike leash sad see food","treat food walk read stay read eat bird fish play","ball ball happy bike cat see walk play stay see","run see stay leash drink ball play sad treat come"
"65","65","banco estudiar museo escuela cuenta estudiar cine luz leer estudiar","cuenta salido ave cocina perro leer vino banco aprender bueno","bird sad food bird happy treat happy bird sad see","bike leash dog fish fish run cat ball bike read","see see eat see ball sad sad treat read food","bird walk drink sad eat happy read happy bike food"
"66","66","cuenta escuela cine banco cine vino gato escuela cuenta bueno","museo estudiar gato perro escuela cuenta gato ave arte examen","drink eat dog drink see sad run walk stay treat","drink leash bird see ball play ball cat run read","come bird happy stay eat bike sad fish ball ball","come cat walk bird drink happy come drink bike treat"
"67","67","luz hola cine vino banco libro cuenta ave cine examen","cuenta salido ave arte aprender cine cuenta salido museo escuela","food food drink eat cat come sad food fish walk","run happy fish come walk sad dog fish play run","cat read eat read come food drink walk treat bike","treat drink ball run dog run cat walk see eat"
"68","68","banco leer hola vino luz perro cine escuela cine hola","leer luz museo estudiar leer examen cine ave vino cocina","read come leash stay treat dog see treat happy fish","food walk cat leash stay drink run bike play walk","fish run sad leash come fish bird happy walk treat","bird bird run dog happy bird dog dog food food"
"69","69","vino bueno arte cocina cuenta cine museo cocina aprender museo","cuenta leer bueno aprender arte libro salido museo leer vino","ball food treat leash bird leash food happy run ball","eat cat run run see bike bike see see eat","cat stay sad play food leash walk food come food","bird sad eat walk read see happy happy cat walk"
"70","70","libro luz bueno hola museo cocina leer salido salido aprender","banco cuenta leer estudiar estudiar cuenta ave vino banco aprender","walk bird read eat food drink run happy happy drink","food come run food read eat cat dog ball treat","eat read bike happy happy read sad run walk bike","bird come cat drink come come treat come read cat"
"71","71","banco arte aprender ave hola museo bueno salido cocina escuela","banco examen cuenta cine ave libro arte examen vino salido","aprender perro hola luz hola estudiar estudiar aprender gato vino","see dog walk ball sad bird walk read run bird","treat see stay read eat leash run come bird leash","leash run come drink ball bird sad drink play walk"
"72","72","arte luz banco escuela estudiar libro cine luz perro ave","salido ave gato libro museo vino estudiar escuela cine hola","hola bueno arte bueno perro salido gato luz aprender hola","cat dog bird run eat sad cat see leash read","dog ball bike play eat drink dog drink food play","see come food treat see eat food cat run come"
"73","73","arte leer leer hola banco leer libro hola estudiar estudiar","perro bueno leer arte bueno vino escuela leer bueno arte","arte hola leer escuela cocina cuenta luz vino cocina luz","drink walk dog dog drink see play walk read food","bird come ball bike treat bird run food eat read","drink walk see cat read sad bike play play leash"
"74","74","museo banco banco cocina vino banco museo bueno arte luz","vino hola escuela salido aprender leer gato ave gato vino","leer estudiar escuela perro cocina museo aprender estudiar cuenta vino","treat drink eat come sad stay bike bird drink stay","treat food run eat leash food treat happy happy run","dog stay run stay eat read ball stay stay play"
"75","75","libro hola vino luz cine hola museo escuela museo luz","examen banco cine libro cocina estudiar gato vino cuenta cuenta","hola escuela examen examen cine escuela cocina examen cocina luz","bike play cat come see fish fish leash ball cat","eat food happy walk come run come read see walk","sad read see bike walk eat bird drink bike see"
"76","76","plage brune glace quai merci avion lait brune un merci","hola museo banco luz examen leer libro cine cine ave","examen cine ave arte bueno cuenta aprender hola cuenta perro","treat leash cat eat come ball stay eat ball treat","food leash read eat sad stay drink treat play food","food treat happy bike happy eat dog see run fish"
"77","77","lci avion quai billet touriste tisane avion vin pres salut","cuenta cocina estudiar examen cuenta bueno cine leer ave aprender","gato gato arte bueno libro examen cine cocina hola cine","fish drink read play run play fish dog stay run","see cat fish fish stay treat bird ball walk drink","drink food cat walk bike sad sad run play eat"
"78","78","gare glace vin lci un couchette madame merci lci vin","salido ave salido examen ave cine museo examen leer salido","museo hola libro leer examen leer aprender museo leer leer","come happy food food walk fish eat stay drink fish","sad play walk leash sad food dog bird fish eat","fish ball drink cat food read come sad happy come"
"79","79","lait couchette pres touriste billet glace couchette lci touriste lci","examen libro examen hola estudiar leer leer perro arte examen","gato bueno aprender estudiar salido arte salido libro perro museo","dog food see play bird walk sad run food ball","play eat fish stay walk ball fish treat food bird","play food eat read ball happy bike play play sad"
