"","V1","V2","V3"
"1",1,35,1
"2",1,36,1
"3",1,61,1
"4",1,73,3
"5",1,85,1
"6",1,90,1
"7",1,127,1
"8",1,129,3
"9",1,134,2
"10",1,150,2
"11",1,153,3
"12",1,174,6
"13",1,184,3
"14",1,188,5
"15",1,190,3
"16",1,199,6
"17",1,204,1
"18",1,211,1
"19",1,217,2
"20",1,218,3
"21",1,232,1
"22",1,255,1
"23",1,258,6
"24",1,260,2
"25",1,261,7
"26",1,297,1
"27",1,313,1
"28",1,321,1
"29",1,324,1
"30",1,345,2
"31",1,362,3
"32",1,380,1
"33",1,407,5
"34",1,429,1
"35",1,440,3
"36",1,454,2
"37",1,467,2
"38",1,470,1
"39",1,479,1
"40",1,506,1
"41",1,507,1
"42",1,531,1
"43",1,538,3
"44",1,546,3
"45",1,562,1
"46",1,571,12
"47",1,578,5
"48",1,585,2
"49",1,594,3
"50",1,638,3
"51",1,657,2
"52",1,662,1
"53",1,676,1
"54",1,679,3
"55",1,681,5
"56",1,683,1
"57",1,692,2
"58",1,706,2
"59",1,707,1
"60",1,739,1
"61",1,759,1
"62",1,760,1
"63",1,767,3
"64",1,773,4
"65",1,775,1
"66",1,782,1
"67",1,839,3
"68",1,863,3
"69",1,866,1
"70",1,871,1
"71",1,886,3
"72",1,893,1
"73",1,925,2
"74",1,940,3
"75",1,945,3
"76",1,963,1
"77",1,977,3
"78",1,982,1
"79",1,987,2
"80",1,1030,2
"81",1,1032,1
"82",1,1047,4
"83",1,1060,3
"84",1,1061,3
"85",1,1077,1
"86",1,1079,1
"87",1,1080,1
"88",1,1082,1
"89",2,17,1
"90",2,43,1
"91",2,91,1
"92",2,114,1
"93",2,140,1
"94",2,236,2
"95",2,249,1
"96",2,297,1
"97",2,308,1
"98",2,341,1
"99",2,368,1
"100",2,395,1
"101",2,439,1
"102",2,446,5
"103",2,447,1
"104",2,506,1
"105",2,538,2
"106",2,543,1
"107",2,648,2
"108",2,654,1
"109",2,673,1
"110",2,681,1
"111",2,686,1
"112",2,723,1
"113",2,748,1
"114",2,815,1
"115",2,1075,1
"116",3,4,1
"117",3,29,2
"118",3,32,4
"119",3,46,1
"120",3,89,2
"121",3,91,2
"122",3,93,1
"123",3,106,1
"124",3,109,1
"125",3,122,2
"126",3,135,1
"127",3,136,2
"128",3,141,1
"129",3,152,2
"130",3,157,2
"131",3,171,1
"132",3,177,2
"133",3,190,2
"134",3,196,1
"135",3,201,2
"136",3,215,2
"137",3,229,4
"138",3,245,2
"139",3,249,2
"140",3,252,1
"141",3,253,2
"142",3,258,6
"143",3,259,2
"144",3,274,2
"145",3,279,2
"146",3,290,2
"147",3,297,2
"148",3,306,1
"149",3,314,1
"150",3,323,1
"151",3,335,1
"152",3,337,1
"153",3,341,6
"154",3,376,1
"155",3,388,1
"156",3,389,3
"157",3,400,1
"158",3,407,6
"159",3,411,2
"160",3,416,2
"161",3,424,1
"162",3,427,2
"163",3,428,1
"164",3,434,2
"165",3,450,2
"166",3,461,2
"167",3,464,1
"168",3,467,2
"169",3,504,2
"170",3,513,3
"171",3,528,1
"172",3,529,1
"173",3,530,1
"174",3,532,1
"175",3,553,2
"176",3,556,1
"177",3,567,2
"178",3,568,2
"179",3,569,1
"180",3,578,8
"181",3,585,2
"182",3,621,1
"183",3,624,2
"184",3,627,2
"185",3,629,1
"186",3,631,1
"187",3,643,2
"188",3,659,4
"189",3,661,1
"190",3,662,2
"191",3,667,2
"192",3,674,1
"193",3,678,2
"194",3,681,2
"195",3,708,1
"196",3,729,1
"197",3,730,2
"198",3,737,1
"199",3,762,2
"200",3,769,2
"201",3,773,2
"202",3,774,1
"203",3,786,2
"204",3,787,2
"205",3,803,1
"206",3,809,1
"207",3,814,1
"208",3,823,1
"209",3,831,4
"210",3,858,2
"211",3,862,3
"212",3,874,2
"213",3,915,2
"214",3,944,2
"215",3,951,1
"216",3,959,2
"217",3,975,2
"218",3,976,2
"219",3,988,2
"220",3,990,2
"221",3,1007,1
"222",3,1021,2
"223",3,1038,2
"224",3,1057,1
"225",3,1075,1
"226",3,1088,4
"227",3,1090,1
"228",4,9,1
"229",4,20,2
"230",4,25,1
"231",4,43,1
"232",4,46,1
"233",4,77,1
"234",4,78,2
"235",4,93,1
"236",4,106,1
"237",4,109,1
"238",4,135,1
"239",4,141,1
"240",4,152,1
"241",4,158,1
"242",4,161,1
"243",4,169,1
"244",4,171,2
"245",4,179,1
"246",4,180,1
"247",4,187,1
"248",4,196,1
"249",4,210,1
"250",4,222,1
"251",4,225,3
"252",4,228,1
"253",4,237,1
"254",4,242,3
"255",4,252,1
"256",4,274,2
"257",4,293,1
"258",4,297,2
"259",4,306,1
"260",4,314,1
"261",4,318,1
"262",4,323,1
"263",4,330,2
"264",4,335,1
"265",4,337,1
"266",4,341,1
"267",4,347,1
"268",4,376,1
"269",4,381,1
"270",4,382,1
