,V1,V1,V3
1,0.822432,0.822432,0.0291973
2,0.827411,0.827411,0.032296
3,0.831453,0.831453,0.0376698
4,0.832112,0.832112,0.0478015
5,0.726029,0.726029,0.0466827
6,0.82152,0.82152,0.040707
7,0.923721,0.923721,0.0402856
8,0.764455,0.764455,0.041243
9,0.7789,0.7789,0.040534
10,0.804853,0.804853,0.0466335
11,0.860244,0.860244,0.0454554
12,0.744946,0.744946,0.0384714
13,0.719542,0.719542,0.029518
14,0.798453,0.798453,0.0454105
15,0.59827,0.59827,0.0305316
16,0.710959,0.710959,0.0313615
17,0.770861,0.770861,0.0324237
18,0.824468,0.824468,0.0473418
19,0.921342,0.921342,0.0426018
20,0.829347,0.829347,0.0426507
21,0.778466,0.778466,0.037682
22,0.841636,0.841636,0.0521269
23,0.7631,0.7631,0.0531157
24,0.815482,0.815482,0.0375407
25,0.817331,0.817331,0.0412471
26,0.777568,0.777568,0.0521528
27,0.811211,0.811211,0.0419612
28,0.830099,0.830099,0.0373109
29,0.811917,0.811917,0.0443152
30,0.840961,0.840961,0.0351434
31,0.829255,0.829255,0.0297822
32,0.909016,0.909016,0.0353269
33,0.826289,0.826289,0.050469
34,0.754833,0.754833,0.0478739
35,0.807303,0.807303,0.0375442
36,0.820288,0.820288,0.038148
37,0.678876,0.678876,0.0421607
38,0.668508,0.668508,0.047845
39,0.777142,0.777142,0.0402012
40,0.860934,0.860934,0.0418412
41,0.846733,0.846733,0.0469723
42,0.785295,0.785295,0.0431777
43,0.685689,0.685689,0.0383749
44,0.733559,0.733559,0.0395854
45,0.880893,0.880893,0.0411834
46,0.900369,0.900369,0.0431593
47,0.872921,0.872921,0.0497161
48,0.888764,0.888764,0.0433765
49,0.861217,0.861217,0.0420767
50,0.801411,0.801411,0.0416361
51,0.744653,0.744653,0.041572
52,0.803461,0.803461,0.0406753
53,0.940948,0.940948,0.0457223
54,0.999339,0.999339,0.0447649
55,0.931754,0.931754,0.048206
56,0.874072,0.874072,0.0477546
57,0.836004,0.836004,0.0460918
58,0.786315,0.786315,0.032834
59,0.80655,0.80655,0.0333171
60,0.839437,0.839437,0.0323508
61,0.825028,0.825028,0.0505097
62,0.858084,0.858084,0.0359978
63,0.845159,0.845159,0.0426303
64,0.723446,0.723446,0.0418763
65,0.681952,0.681952,0.0498643
66,0.739714,0.739714,0.0474858
67,0.810643,0.810643,0.0494593
68,0.732405,0.732405,0.0416608
69,0.785735,0.785735,0.0445987
70,0.883979,0.883979,0.0461392
71,0.714027,0.714027,0.040393
72,0.683656,0.683656,0.0388858
73,0.779345,0.779345,0.0338974
74,0.759058,0.759058,0.0383327
75,0.732981,0.732981,0.0380426
76,0.805444,0.805444,0.0465619
77,0.726709,0.726709,0.0531773
78,0.784752,0.784752,0.0357167
79,0.859701,0.859701,0.0399138
80,0.830891,0.830891,0.050587
81,0.803897,0.803897,0.0465303
82,0.790887,0.790887,0.0385496
83,0.778384,0.778384,0.03943
84,0.737887,0.737887,0.0368266
85,0.686637,0.686637,0.0380229
86,0.687172,0.687172,0.0503428
87,0.758634,0.758634,0.0417892
88,0.735862,0.735862,0.0447175
89,0.672473,0.672473,0.051969
90,0.744738,0.744738,0.039604
91,0.86222,0.86222,0.0376126
92,0.814374,0.814374,0.0441269
93,0.684814,0.684814,0.0413848
94,0.64916,0.64916,0.0528749
95,0.763119,0.763119,0.044792
96,0.829713,0.829713,0.0470439
97,0.747027,0.747027,0.0435391
98,0.696422,0.696422,0.0431432
99,0.70156,0.70156,0.0516301
