,V1,V2,V3
1,0.930514,0.863717,0.00024088
2,0.915381,0.860191,0.000231281
3,0.884449,0.867062,0.000231837
4,0.941779,0.857967,0.000220787
5,0.85668,0.00171456,0.000250802
6,0.923256,0.87312,0.000233129
7,0.813225,0.925434,0.00023749
8,0.776757,0.858401,0.000281687
9,0.878139,0.86413,0.000219772
10,0.938104,0.864865,0.000261913
11,0.828734,0.80819,0.000268518
12,0.857718,0.811873,0.000256753
13,0.808258,0.986238,0.000251207
14,0.880536,0.868028,0.000269871
15,0.864521,0.929298,0.000251019
16,0.929783,0.855923,0.000273182
17,0.826518,0.836621,0.000235529
18,0.922026,0.777118,0.00023707
19,0.858031,0.851913,0.000222671
20,0.799526,0.8636,0.000274926
21,0.937033,0.868113,0.000245237
22,0.920156,0.922988,0.000238139
23,0.861796,0.863983,0.000291423
24,0.814198,0.739136,0.00020332
25,0.88102,0.926739,0.000293107
26,0.873786,0.869821,0.000281284
27,0.833934,0.800523,0.000272119
28,0.992676,0.755412,0.000223814
29,0.889007,0.911673,0.000263374
30,0.817092,0.814152,0.000255381
31,0.932648,0.814058,0.000242219
32,0.812576,0.750538,0.000290312
33,0.828066,0.855535,0.000265561
34,0.867223,0.759936,0.000196597
35,0.826275,0.872285,0.000207289
36,0.932898,0.862587,0.000298132
37,0.929977,0.86728,0.000254371
38,0.937173,0.922441,0.000254107
39,0.99258,0.9246,0.000268589
40,0.88218,0.802104,0.000253689
41,0.942952,0.859063,0.000223138
42,0.827655,0.85383,0.000258158
43,0.879531,0.866363,0.000259408
44,0.85995,0.76542,0.000250736
45,0.818634,0.757097,0.000290885
46,0.925858,0.861811,0.000246768
47,0.940904,0.911666,0.000247561
48,0.936965,0.923644,0.000260753
49,0.918204,0.869684,0.000225163
50,0.78252,0.896081,0.000309704
51,0.887256,0.933372,0.000201422
52,0.805458,0.816392,0.000281404
53,0.869233,0.871343,0.000225298
54,0.928627,0.896921,0.000204887
55,0.935208,0.918717,0.000246016
56,0.836962,0.918459,0.000275262
57,0.879599,0.915507,0.000260233
58,0.786482,0.89589,0.000257974
59,0.906959,0.815657,0.000254502
60,0.847452,0.924888,0.000212584
61,0.812171,0.988596,0.000260786
62,0.884467,0.869647,0.000228441
63,0.842122,0.803156,0.000277719
64,0.917649,0.821558,0.000251377
65,0.862037,0.866101,0.000233757
66,0.866575,0.805962,0.000223564
67,0.886147,0.862608,0.000324708
68,0.862177,0.922084,0.000251766
69,0.927866,0.811933,0.000295147
70,0.8836,0.917253,0.000238555
71,0.934603,0.868653,0.000236534
72,0.937803,0.86312,0.000296763
73,0.874117,0.856029,0.000253802
74,0.912076,0.807781,0.000209435
75,0.892142,0.864912,0.000228737
76,0.763334,0.854799,0.000234472
77,0.863673,0.854031,0.000268512
78,0.870745,0.855852,0.000238354
79,0.887579,0.870347,0.000235024
80,0.8588,0.923635,0.000248654
81,0.865285,0.927824,0.000237025
82,0.937219,0.865816,0.000250138
83,0.792133,0.868039,0.000292621
84,0.798052,0.925205,0.000271599
85,0.879116,0.75206,0.000263762
86,0.887677,0.839474,0.000252557
87,0.888253,0.908027,0.000284391
88,0.931845,0.832863,0.000230323
89,0.860027,0.814014,0.000244904
90,0.880481,0.806607,0.000264361
91,0.877931,0.76938,0.000243034
92,0.884384,0.855399,0.000244851
93,0.875518,0.878645,0.000245623
94,0.810641,0.860929,0.000257055
95,0.943516,0.783948,0.000281255
96,0.99267,0.841626,0.000272068
97,0.923383,0.974159,0.000239403
98,0.880117,0.859323,0.000251124
99,0.872358,0.842755,0.000318432
100,0.886871,0.866441,0.000298314
