,V1,V2,V3
1,0.0248205,0.0181908,0.00860122
2,0.0266123,0.0181999,0.0122173
3,0.0366806,0.0212767,0.00968608
4,0.0313813,0.019971,0.00599465
5,0.0302416,0.0177202,0.0108855
6,0.0241057,0.0152061,0.00798204
7,0.0249141,0.0141715,0.00883898
8,0.0267367,0.0163675,0.0108367
9,0.0261788,0.0132304,0.0121699
10,0.0311231,0.0129889,0.00781786
11,0.0193986,0.0121391,0.00764403
12,0.0278724,0.0107757,0.00754729
13,0.0219287,0.0185344,0.012043
14,0.0194616,0.0144388,0.00947983
15,0.0206241,0.00934465,0.0132894
16,0.0225481,0.0126086,0.0103528
17,0.0264727,0.0168419,0.012479
18,0.0273493,0.0103199,0.00966709
19,0.0296017,0.0105642,0.00867904
20,0.0202862,0.0135057,0.006804
21,0.0275927,0.0205018,0.0103699
22,0.0216825,0.0125048,0.00985433
23,0.02974,0.0157162,0.0092648
24,0.0317937,0.0129596,0.0126469
25,0.0192279,0.0157146,0.00885465
26,0.0199611,0.0118545,0.0126935
27,0.0235488,0.017582,0.0109775
28,0.0269274,0.0128551,0.0132276
29,0.0274778,0.0162008,0.0104867
30,0.0255517,0.016528,0.00941778
31,0.0282862,0.0155259,0.0111328
32,0.0203763,0.0105865,0.0133343
33,0.0160623,0.0187949,0.00926283
34,0.0286414,0.0130456,0.0100425
35,0.0322678,0.0150386,0.0141279
36,0.023749,0.0124211,0.00950563
37,0.0245716,0.0164595,0.00662943
38,0.0225675,0.0167141,0.0114905
39,0.0243912,0.0145316,0.0121101
40,0.0243565,0.0162999,0.00920036
41,0.0285729,0.0180174,0.00892372
42,0.0223565,0.0170592,0.0101756
43,0.0329411,0.0157225,0.012321
44,0.0344281,0.021193,0.00711894
45,0.029189,0.0131535,0.010339
46,0.0222391,0.00968192,0.0115685
47,0.022255,0.0149963,0.0089057
48,0.0239498,0.0163775,0.0137998
49,0.0214651,0.0231506,0.00594168
50,0.0209003,0.0185331,0.00953564
51,0.0297143,0.0149266,0.0087603
52,0.0266033,0.0111228,0.00722068
53,0.0292856,0.0126654,0.00914991
54,0.0238168,0.013296,0.00968483
55,0.0166934,0.0161268,0.0122672
56,0.0208965,0.010316,0.0123154
57,0.0278527,0.0126504,0.0148469
58,0.017558,0.0171403,0.00774168
59,0.021511,0.0170725,0.0118411
60,0.0193241,0.0135886,0.00832105
61,0.0246146,0.0147455,0.0116499
62,0.0233337,0.019615,0.00706897
63,0.0248808,0.0164347,0.0096129
64,0.0280085,0.0138883,0.0101362
65,0.0220315,0.0206073,0.00982089
66,0.0211088,0.0168264,0.0115733
67,0.0239535,0.0109508,0.0115662
68,0.0271074,0.00863965,0.00879185
69,0.0228941,0.0134039,0.0134292
70,0.0280613,0.0124606,0.00852595
71,0.0232273,0.0141282,0.0084491
72,0.0283149,0.011527,0.00924914
73,0.0255961,0.0159052,0.0083407
74,0.0188469,0.0176071,0.00545763
75,0.0236219,0.015668,0.0106248
76,0.0226384,0.0123371,0.0108613
77,0.0245817,0.0153381,0.00819962
78,0.0250612,0.0158451,0.00265221
79,0.0263366,0.0165084,0.00536481
80,0.0278809,0.0182384,0.00812571
81,0.0194275,0.0192288,0.00916098
82,0.0218146,0.0120643,0.0105686
83,0.0265269,0.0190135,0.0102134
84,0.0282874,0.0128206,0.0084495
85,0.0180964,0.0149699,0.00948706
86,0.0223459,0.0150946,0.00944259
87,0.0261578,0.0145141,0.0141697
88,0.0212207,0.0176283,0.0126984
89,0.0230952,0.0133296,0.0119513
90,0.0239462,0.0148674,0.0099098
91,0.0297905,0.0150686,0.0120483
92,0.025439,0.0167747,0.00549392
93,0.024821,0.0149287,0.00747141
94,0.0272619,0.0108364,0.00909955
95,0.0302124,0.0185168,0.0100345
96,0.0281613,0.0151335,0.00778468
97,0.0261213,0.0193417,0.0102527
98,0.0280479,0.0144914,0.0115855
99,0.03098,0.0142413,0.00683894
