,V1,V2,V3
1,0.59815,0.874901,0.769266
2,0.448319,0.897193,0.713186
3,0.589731,0.778905,0.770276
4,0.608661,0.778126,0.999962
5,0.54962,0.789586,0.999947
6,0.601131,0.813444,0.894628
7,0.658016,0.649543,0.894652
8,0.571355,0.760957,0.889158
9,0.602991,0.887758,0.77945
10,0.627895,0.734366,0.774394
11,0.567484,0.787872,0.776744
12,0.775878,0.770034,0.84053
13,0.639105,0.646607,0.847094
14,0.623909,0.747365,0.840643
15,0.758301,0.779042,0.681503
16,0.80641,0.709229,0.737581
17,0.865396,0.7321,0.794795
18,0.674031,0.764547,0.780362
19,0.529217,0.762129,0.781453
20,0.533236,0.814972,0.839718
21,0.680125,0.871225,0.790492
22,0.676078,0.872323,0.711772
23,0.718694,0.802619,0.766087
24,0.659082,0.964198,0.889364
25,0.699704,0.711953,0.779663
26,0.698262,0.774213,0.892098
27,0.711368,0.883779,0.888352
28,0.578719,0.672189,0.888303
29,0.45041,0.703846,0.777278
30,0.488783,0.882844,0.715492
31,0.582373,0.99994,0.762561
32,0.687158,0.999948,0.672255
33,0.733066,0.999973,0.743985
34,0.774181,0.999932,0.763158
35,0.843818,0.999991,0.76241
36,0.627898,0.999993,0.776885
37,0.65727,0.778173,0.885027
38,0.686436,0.727849,0.784552
39,0.568095,0.770322,0.735865
40,0.585108,0.807594,0.692789
41,0.665848,0.82134,0.68841
42,0.57192,0.774599,0.722165
43,0.570552,0.785036,0.778587
44,0.621402,0.885959,0.800152
45,0.841654,0.999964,0.800123
46,0.634485,0.87547,0.886689
47,0.595509,0.753957,0.768105
48,0.625058,0.764183,0.670353
49,0.484487,0.898966,0.672934
50,0.627783,0.898945,0.72665
51,0.74577,0.999971,0.836717
52,0.687022,0.888844,0.829284
53,0.656225,0.709815,0.82896
54,0.765284,0.636708,0.883509
55,0.699638,0.810287,0.999951
56,0.521917,0.893771,0.99994
57,0.574711,0.885528,0.898913
58,0.725699,0.772639,0.898917
59,0.676345,0.774954,0.999995
60,0.628965,0.887199,0.999959
61,0.515437,0.881572,0.999971
62,0.558918,0.793811,0.898425
63,0.712888,0.8457,0.898477
64,0.676889,0.902465,0.895624
65,0.649377,0.86848,0.895597
66,0.685764,0.760268,0.878503
67,0.774574,0.817039,0.761322
68,0.724064,0.875261,0.883161
69,0.698216,0.999943,0.999984
70,0.663264,0.891655,0.895174
71,0.596772,0.786247,0.79347
72,0.672087,0.767558,0.722759
73,0.745221,0.872475,0.65589
74,0.811973,0.999985,0.727372
75,0.80871,0.885351,0.898204
76,0.791283,0.885387,0.999909
77,0.662179,0.894623,0.88193
78,0.491399,0.894584,0.665138
79,0.576857,0.888375,0.648041
80,0.738636,0.780296,0.874112
81,0.72719,0.781051,0.999979
82,0.658675,0.823723,0.787553
83,0.819307,0.807747,0.722126
84,0.56228,0.826916,0.726654
85,0.485655,0.843096,0.557986
86,0.597775,0.782798,0.76876
87,0.698242,0.634229,0.888202
88,0.646992,0.59183,0.773297
89,0.58433,0.722937,0.886862
90,0.559075,0.716524,0.896359
91,0.767318,0.594378,0.777257
92,0.647564,0.635564,0.817932
93,0.682584,0.816675,0.877629
94,0.582679,0.75295,0.999952
95,0.524742,0.661283,0.894784
96,0.746379,0.714514,0.77902
97,0.628189,0.596448,0.67748
98,0.591135,0.633368,0.676902
99,0.720834,0.866367,0.774668
