"","V1","V2","V3"
"1",NA,NA,0.461447
"2",NA,NA,0.626448
"3",NA,NA,0.643824
"4",NA,NA,0.677655
"5",NA,NA,0.567863
"6",NA,NA,0.621081
"7",NA,NA,0.606191
"8",NA,NA,0.69593
"9",NA,NA,0.631316
"10",NA,NA,0.680748
"11",NA,NA,0.675606
"12",NA,NA,0.671933
"13",NA,NA,0.347842
"14",NA,NA,0.633939
"15",NA,NA,0.546679
"16",NA,NA,0.637997
"17",NA,NA,0.649448
"18",NA,NA,0.674882
"19",NA,NA,0.532277
"20",NA,NA,0.69041
"21",NA,NA,0.666026
"22",NA,NA,0.593593
"23",NA,NA,0.746979
"24",NA,NA,0.670903
"25",NA,NA,0.634375
"26",NA,NA,0.551941
"27",NA,NA,0.822994
"28",NA,NA,0.627775
"29",NA,NA,0.553568
"30",NA,NA,0.537987
"31",NA,NA,0.716815
"32",NA,NA,0.670325
"33",NA,NA,0.86749
"34",NA,NA,0.558912
"35",NA,NA,0.584639
"36",NA,NA,0.693307
"37",NA,NA,0.733393
"38",NA,NA,0.702799
"39",NA,NA,0.454037
"40",NA,NA,0.624615
"41",NA,NA,0.642225
"42",NA,NA,0.526101
"43",NA,NA,0.513464
"44",NA,NA,0.686955
"45",NA,NA,0.585524
"46",NA,NA,0.738883
"47",NA,NA,0.674574
"48",NA,NA,0.548229
"49",NA,NA,0.649608
"50",NA,NA,0.547227
"51",NA,NA,0.780159
"52",NA,NA,0.501485
"53",NA,NA,0.703619
"54",NA,NA,0.503209
"55",NA,NA,0.621418
"56",NA,NA,0.52303
"57",NA,NA,0.628284
"58",NA,NA,0.556512
"59",NA,NA,0.542319
"60",NA,NA,0.647605
"61",NA,NA,0.566263
"62",NA,NA,0.570471
"63",NA,NA,0.464151
"64",NA,NA,0.782014
"65",NA,NA,0.801608
"66",NA,NA,0.477802
"67",NA,NA,0.739699
"68",NA,NA,0.464853
"69",NA,NA,0.645796
"70",NA,NA,0.510856
"71",NA,NA,0.424998
"72",NA,NA,0.641562
"73",NA,NA,0.637131
"74",NA,NA,0.602696
"75",NA,NA,0.645392
"76",NA,NA,0.670414
"77",NA,NA,0.83964
"78",NA,NA,0.594654
"79",NA,NA,0.51778
"80",NA,NA,0.816149
"81",NA,NA,0.469874
"82",NA,NA,0.648951
"83",NA,NA,0.493917
"84",NA,NA,0.669699
"85",NA,NA,0.645409
"86",NA,NA,0.440797
"87",NA,NA,0.579833
"88",NA,NA,0.858219
"89",NA,NA,0.595807
"90",NA,NA,0.602042
"91",NA,NA,0.735386
"92",NA,NA,0.545105
"93",NA,NA,0.543631
"94",NA,NA,0.704858
"95",NA,NA,0.593289
"96",NA,NA,0.829904
"97",NA,NA,0.499948
"98",NA,NA,0.768987
"99",NA,NA,0.833273
"100",NA,NA,0.478785
