"","V1","V2","V3"
"1",NA,NA,0.374294
"2",NA,NA,0.628453
"3",NA,NA,0.535492
"4",NA,NA,0.528455
"5",NA,NA,0.524136
"6",NA,NA,0.481753
"7",NA,NA,0.609032
"8",NA,NA,0.491335
"9",NA,NA,0.525195
"10",NA,NA,0.578426
"11",NA,NA,0.614547
"12",NA,NA,0.317228
"13",NA,NA,0.372783
"14",NA,NA,0.451451
"15",NA,NA,0.524314
"16",NA,NA,0.503078
"17",NA,NA,0.569183
"18",NA,NA,0.41106
"19",NA,NA,0.430829
"20",NA,NA,0.653099
"21",NA,NA,0.536807
"22",NA,NA,0.53379
"23",NA,NA,0.592051
"24",NA,NA,0.582487
"25",NA,NA,0.452305
"26",NA,NA,0.553562
"27",NA,NA,0.601931
"28",NA,NA,0.454207
"29",NA,NA,0.412473
"30",NA,NA,0.491915
"31",NA,NA,0.634515
"32",NA,NA,0.673924
"33",NA,NA,0.566502
"34",NA,NA,0.398583
"35",NA,NA,0.544239
"36",NA,NA,0.596959
"37",NA,NA,0.650044
"38",NA,NA,0.446486
"39",NA,NA,0.445571
"40",NA,NA,0.474709
"41",NA,NA,0.486563
"42",NA,NA,0.361822
"43",NA,NA,0.459851
"44",NA,NA,0.521291
"45",NA,NA,0.545281
"46",NA,NA,0.597114
"47",NA,NA,0.465793
"48",NA,NA,0.535876
"49",NA,NA,0.453002
"50",NA,NA,0.523409
"51",NA,NA,0.490726
"52",NA,NA,0.42934
"53",NA,NA,0.480673
"54",NA,NA,0.457018
"55",NA,NA,0.448998
"56",NA,NA,0.447964
"57",NA,NA,0.427129
"58",NA,NA,0.465847
"59",NA,NA,0.5157
"60",NA,NA,0.446864
"61",NA,NA,0.40309
"62",NA,NA,0.357254
"63",NA,NA,0.422657
"64",NA,NA,0.763167
"65",NA,NA,0.490551
"66",NA,NA,0.420499
"67",NA,NA,0.478056
"68",NA,NA,0.461654
"69",NA,NA,0.427997
"70",NA,NA,0.298678
"71",NA,NA,0.354749
"72",NA,NA,0.539972
"73",NA,NA,0.490873
"74",NA,NA,0.452732
"75",NA,NA,0.534959
"76",NA,NA,0.66531
"77",NA,NA,0.591079
"78",NA,NA,0.487531
"79",NA,NA,0.506643
"80",NA,NA,0.468312
"81",NA,NA,0.431824
"82",NA,NA,0.455909
"83",NA,NA,0.434238
"84",NA,NA,0.519777
"85",NA,NA,0.395522
"86",NA,NA,0.398947
"87",NA,NA,0.587094
"88",NA,NA,0.580226
"89",NA,NA,0.490491
"90",NA,NA,0.5325
"91",NA,NA,0.564614
"92",NA,NA,0.436191
"93",NA,NA,0.51434
"94",NA,NA,0.512116
"95",NA,NA,0.589801
"96",NA,NA,0.499131
"97",NA,NA,0.484504
"98",NA,NA,0.751132
"99",NA,NA,0.468649
