"","V1","V2"
"1",0.181218,NA
"2",0.236692,NA
"3",0.212629,NA
"4",0.211212,NA
"5",0.223545,NA
"6",0.214162,NA
"7",0.242815,NA
"8",0.242438,NA
"9",0.189065,NA
"10",0.197471,NA
"11",0.230458,NA
"12",0.210686,NA
"13",0.211777,NA
"14",0.183801,NA
"15",0.200142,NA
"16",0.212347,NA
"17",0.198022,NA
"18",0.21372,NA
"19",0.193865,NA
"20",0.203771,NA
"21",0.173865,NA
"22",0.216325,NA
"23",0.219626,NA
"24",0.220614,NA
"25",0.21374,NA
"26",0.179086,NA
"27",0.236307,NA
"28",0.216441,NA
"29",0.172406,NA
"30",0.193103,NA
"31",0.172561,NA
"32",0.198282,NA
"33",0.204662,NA
"34",0.199964,NA
"35",0.193428,NA
"36",0.174747,NA
"37",0.174529,NA
"38",0.166392,NA
"39",0.202803,NA
"40",0.19319,NA
"41",0.181851,NA
"42",0.185858,NA
"43",0.176869,NA
"44",0.215526,NA
"45",0.214503,NA
"46",0.181519,NA
"47",0.207643,NA
"48",0.197469,NA
"49",0.200121,NA
"50",0.220662,NA
"51",0.188329,NA
"52",0.188157,NA
"53",0.195009,NA
"54",0.184649,NA
"55",0.15603,NA
"56",0.185799,NA
"57",0.200894,NA
"58",0.213952,NA
"59",0.195448,NA
"60",0.16283,NA
"61",0.197315,NA
"62",0.201415,NA
"63",0.20836,NA
"64",0.209353,NA
"65",0.246158,NA
"66",0.222833,NA
"67",0.233242,NA
"68",0.185272,NA
"69",0.216802,NA
"70",0.19523,NA
"71",0.237877,NA
"72",0.218819,NA
"73",0.224521,NA
"74",0.23693,NA
"75",0.205548,NA
"76",0.247376,NA
"77",0.229543,NA
"78",0.217034,NA
"79",0.204054,NA
"80",0.200786,NA
"81",0.191564,NA
"82",0.192589,NA
"83",0.210217,NA
"84",0.204752,NA
"85",0.158901,NA
"86",0.174431,NA
"87",0.235178,NA
"88",0.196689,NA
"89",0.237931,NA
"90",0.216898,NA
"91",0.19918,NA
"92",0.189479,NA
"93",0.172343,NA
"94",0.22392,NA
"95",0.241182,NA
"96",0.221726,NA
"97",0.225518,NA
"98",0.211548,NA
"99",0.202788,NA
