,V1,V2,V3
1,0.993199,0.991856,0.987251
2,0.993197,0.992078,0.986888
3,0.993195,0.991857,0.986847
4,0.993199,0.991857,0.987037
5,0.993205,0.991859,0.986891
6,0.993198,0.991908,0.986874
7,0.993199,0.991867,0.986865
8,0.993201,0.991866,0.98673
9,0.993196,0.991858,0.986913
10,0.993206,0.991907,0.986872
11,0.993203,0.992067,0.987038
12,0.993208,0.991856,0.986884
13,0.993208,0.991864,0.986873
14,0.993214,0.991859,0.986885
15,0.993199,0.991863,0.986761
16,0.993195,0.991857,0.986875
17,0.993201,0.991864,0.986875
18,0.993195,0.99186,0.986868
19,0.993196,0.992068,0.986042
20,0.993207,0.991852,0.986793
21,0.993206,0.991866,0.986877
22,0.993198,0.991869,0.986856
23,0.993206,0.991852,0.986579
24,0.993191,0.991868,0.986881
25,0.993208,0.991868,0.986632
26,0.993204,0.991865,0.986726
27,0.99318,0.991866,0.9868
28,0.993206,0.991857,0.986682
29,0.993214,0.991911,0.986883
30,0.99319,0.991857,0.986851
31,0.993193,0.99187,0.986872
32,0.993198,0.991853,0.986701
33,0.993208,0.991869,0.986888
34,0.993198,0.99187,0.986876
35,0.9932,0.991865,0.986816
36,0.993202,0.99187,0.986479
37,0.993182,0.992086,0.986394
38,0.993196,0.991867,0.986869
39,0.993203,0.99187,0.986419
40,0.993203,0.991859,0.986897
41,0.993199,0.991862,0.987049
42,0.993197,0.99207,0.986395
43,0.993198,0.991869,0.986677
44,0.993194,0.991859,0.987215
45,0.993204,0.991856,0.986544
46,0.993204,0.991858,0.986898
47,0.993206,0.991871,0.986549
48,0.993201,0.99207,0.98684
49,0.993196,0.991915,0.986735
50,0.993201,0.991872,0.986879
51,0.9932,0.991865,0.986885
52,0.993203,0.991855,0.986898
53,0.993206,0.991856,0.986868
54,0.993193,0.991871,0.986872
55,0.993203,0.992066,0.986792
56,0.993203,0.991859,0.986885
57,0.993208,0.991861,0.987258
58,0.993206,0.991864,0.986889
59,0.993203,0.991858,0.986876
60,0.993203,0.991857,0.98687
61,0.993207,0.99208,0.98676
62,0.993175,0.991856,0.986882
63,0.993197,0.99187,0.986885
64,0.993186,0.99186,0.986867
65,0.993195,0.991863,0.986882
66,0.993191,0.991876,0.986785
67,0.993199,0.992062,0.986994
68,0.993207,0.991856,0.986895
69,0.993193,0.991856,0.986896
70,0.993195,0.99186,0.986725
71,0.993203,0.991854,0.986875
72,0.993193,0.991859,0.986879
73,0.99318,0.992078,0.98687
74,0.993199,0.991861,0.986865
75,0.99319,0.991862,0.986878
76,0.993194,0.991859,0.987267
77,0.99319,0.992076,0.986788
78,0.993188,0.991044,0.986969
79,0.993199,0.991869,0.986871
80,0.993195,0.991855,0.98688
81,0.993204,0.991858,0.986883
82,0.993207,0.991847,0.986874
83,0.993204,0.991868,0.986884
84,0.993194,0.992072,0.986724
85,0.993199,0.991865,0.986879
86,0.993197,0.991874,0.986874
87,0.993193,0.991862,0.986882
88,0.993189,0.991858,0.986792
89,0.993192,0.991855,0.986444
90,0.993201,0.991873,0.986895
91,0.993202,0.991855,0.986882
92,0.993196,0.991854,0.98661
93,0.993192,0.991865,0.986879
94,0.993205,0.99187,0.986867
95,0.993186,0.991858,0.98672
96,0.993198,0.991861,0.98689
97,0.993202,0.991871,0.986883
98,0.993208,0.991866,0.98685
99,0.993194,0.992067,0.986877
100,0.993184,0.991033,0.986884
