,V1,V2,V3
1,0.994053,0.989963,0.983109
2,0.994052,0.989936,0.983639
3,0.994048,0.98993,0.983369
4,0.994049,0.989932,0.983462
5,0.994052,0.989926,0.983909
6,0.994053,0.989926,0.983871
7,0.994052,0.989927,0.983897
8,0.994056,0.98997,0.982835
9,0.994054,0.989922,0.984304
10,0.994054,0.98992,0.984387
11,0.994044,0.989992,0.983452
12,0.994055,0.989919,0.983896
13,0.994055,0.989941,0.983501
14,0.994045,0.989932,0.983499
15,0.994052,0.989923,0.983368
16,0.994049,0.989926,0.983884
17,0.994056,0.98997,0.983705
18,0.994046,0.989932,0.984881
19,0.994057,0.989965,0.983702
20,0.994045,0.989925,0.983822
21,0.99405,0.989931,0.983114
22,0.994045,0.989932,0.983352
23,0.99405,0.989935,0.983861
24,0.994056,0.989928,0.983572
25,0.994048,0.98999,0.983905
26,0.99405,0.989929,0.983116
27,0.994052,0.990003,0.983174
28,0.994053,0.989924,0.984867
29,0.994055,0.989927,0.983177
30,0.994053,0.989922,0.983122
31,0.994064,0.989927,0.985263
32,0.994051,0.990005,0.983429
33,0.994049,0.989963,0.984379
34,0.994048,0.989982,0.984261
35,0.994053,0.990006,0.983722
36,0.994058,0.989921,0.982277
37,0.994047,0.989934,0.983211
38,0.99405,0.989924,0.984121
39,0.994053,0.989923,0.983461
40,0.994052,0.989927,0.983438
41,0.994051,0.989925,0.983856
42,0.99405,0.989988,0.984865
43,0.994044,0.98994,0.984347
44,0.994046,0.98993,0.983573
45,0.994052,0.989938,0.98376
46,0.994051,0.989971,0.983869
47,0.994053,0.989948,0.984751
48,0.994046,0.989922,0.984875
49,0.994049,0.989941,0.984869
50,0.994053,0.989921,0.983903
51,0.994045,0.989915,0.983187
52,0.994054,0.989921,0.983389
53,0.994045,0.989932,0.98433
54,0.994054,0.989933,0.983252
55,0.994042,0.989916,0.98388
56,0.994042,0.989539,0.983236
57,0.994058,0.99001,0.984088
58,0.994046,0.989936,0.984718
59,0.99405,0.989927,0.983914
60,0.994047,0.989928,0.983029
61,0.994057,0.989932,0.98442
62,0.994054,0.989914,0.984118
63,0.994054,0.989996,0.983379
64,0.994048,0.989924,0.984407
65,0.99405,0.989928,0.984357
66,0.99405,0.989925,0.983014
67,0.994046,0.989932,0.983877
68,0.994044,0.990006,0.983478
69,0.994055,0.989931,0.984773
70,0.994052,0.989941,0.9841
71,0.994049,0.989928,0.983813
72,0.994046,0.989933,0.983861
73,0.994046,0.989928,0.983441
74,0.994047,0.989928,0.983446
75,0.994046,0.989916,0.982899
76,0.994046,0.990006,0.983836
77,0.994042,0.989918,0.983784
78,0.994037,0.989942,0.98408
79,0.994043,0.989996,0.983588
80,0.994054,0.989931,0.98363
81,0.99405,0.989533,0.98383
82,0.994048,0.989916,0.982881
83,0.994047,0.989996,0.983635
84,0.994051,0.98993,0.982233
85,0.99405,0.989922,0.983778
86,0.994044,0.989928,0.983823
87,0.99405,0.989936,0.984086
88,0.994049,0.989932,0.984669
89,0.994059,0.990004,0.983854
90,0.994053,0.989964,0.983101
91,0.994048,0.989998,0.983285
92,0.994045,0.989931,0.983594
93,0.99405,0.990005,0.983363
94,0.994045,0.989997,0.984065
95,0.994059,0.989918,0.983186
96,0.994048,0.989928,0.983715
97,0.994055,0.989943,0.984775
98,0.994047,0.989918,0.983043
99,0.994048,0.989919,0.982867
100,0.994055,0.989931,0.98356
