,V1,V2,V2
1,0.986068,0.931279,0.931279
2,0.987918,0.929845,0.929845
3,0.988616,0.926364,0.926364
4,0.990799,0.930585,0.930585
5,0.991319,0.941984,0.941984
6,0.987636,0.92584,0.92584
7,0.988166,0.930905,0.930905
8,0.991688,0.945059,0.945059
9,0.989931,0.927393,0.927393
10,0.98716,0.918248,0.918248
11,0.984889,0.924352,0.924352
12,0.986375,0.916644,0.916644
13,0.986598,0.919878,0.919878
14,0.986791,0.926003,0.926003
15,0.987011,0.925621,0.925621
16,0.987955,0.900965,0.900965
17,0.99193,0.902404,0.902404
18,0.991819,0.935638,0.935638
19,0.988084,0.929041,0.929041
20,0.987223,0.931503,0.931503
21,0.984691,0.927785,0.927785
22,0.987457,0.930703,0.930703
23,0.988439,0.926432,0.926432
24,0.985655,0.913601,0.913601
25,0.98834,0.908591,0.908591
26,0.98777,0.923337,0.923337
27,0.984407,0.926215,0.926215
28,0.99217,0.915903,0.915903
29,0.988028,0.932072,0.932072
30,0.990854,0.920611,0.920611
31,0.9902,0.914961,0.914961
32,0.989029,0.940302,0.940302
33,0.988862,0.930734,0.930734
34,0.990409,0.928831,0.928831
35,0.991573,0.944845,0.944845
36,0.986179,0.93324,0.93324
37,0.981648,0.93363,0.93363
38,0.988269,0.935092,0.935092
39,0.990737,0.921815,0.921815
40,0.992596,0.929142,0.929142
41,0.988204,0.920162,0.920162
42,0.995282,0.925146,0.925146
43,0.988601,0.922874,0.922874
44,0.98883,0.912275,0.912275
45,0.990891,0.930707,0.930707
46,0.990637,0.93484,0.93484
47,0.987222,0.936897,0.936897
48,0.988359,0.933266,0.933266
49,0.990127,0.929927,0.929927
50,0.987341,0.925618,0.925618
51,0.986127,0.928361,0.928361
52,0.995264,0.934986,0.934986
53,0.987059,0.917657,0.917657
54,0.986609,0.917158,0.917158
55,0.986182,0.927657,0.927657
56,0.984248,0.939901,0.939901
57,0.985494,0.926666,0.926666
58,0.982978,0.923039,0.923039
59,0.983448,0.93077,0.93077
60,0.989815,0.924824,0.924824
61,0.989927,0.927373,0.927373
62,0.989179,0.92616,0.92616
63,0.986474,0.926503,0.926503
64,0.987938,0.92805,0.92805
65,0.987716,0.926559,0.926559
66,0.987507,0.917021,0.917021
67,0.988757,0.94661,0.94661
68,0.988547,0.939098,0.939098
69,0.994085,0.933318,0.933318
70,0.987619,0.92668,0.92668
71,0.985427,0.935241,0.935241
72,0.986027,0.923041,0.923041
73,0.991156,0.925761,0.925761
74,0.989472,0.940722,0.940722
75,0.98988,0.931309,0.931309
76,0.992349,0.928381,0.928381
77,0.990485,0.920164,0.920164
78,0.989225,0.919999,0.919999
79,0.99245,0.924629,0.924629
80,0.99245,0.936584,0.936584
81,0.988766,0.936939,0.936939
82,0.987694,0.9325,0.9325
83,0.988878,0.932221,0.932221
84,0.990863,0.936642,0.936642
85,0.989082,0.932776,0.932776
86,0.98858,0.925812,0.925812
87,0.989174,0.917876,0.917876
88,0.987551,0.92579,0.92579
89,0.987493,0.931765,0.931765
90,0.991416,0.933362,0.933362
91,0.9894,0.93514,0.93514
92,0.989299,0.934364,0.934364
93,0.991876,0.924451,0.924451
94,0.993352,0.92834,0.92834
95,0.990256,0.936765,0.936765
96,0.987942,0.939588,0.939588
97,0.988131,0.929269,0.929269
98,0.988221,0.928911,0.928911
99,0.986881,0.934062,0.934062
