,V1,V2
1,0.870302,0.884557
2,0.577284,0.578529
3,0.70094,0.702477
4,0.57568,0.714475
5,0.883954,0.712071
6,0.574796,0.697556
7,0.709498,0.571793
8,0.699104,0.694821
9,0.706991,0.579483
10,0.884589,0.798058
11,0.70051,0.875621
12,0.70954,0.574804
13,0.689042,0.70878
14,0.814239,0.702665
15,0.705053,0.706852
16,0.69856,0.706914
17,0.700213,0.867308
18,0.695763,0.869143
19,0.570546,0.883671
20,0.861897,0.704894
21,0.880696,0.57741
22,0.691532,0.696571
23,0.764671,0.708767
24,0.703985,0.706753
25,0.867915,0.703709
26,0.762417,0.871565
27,0.745958,0.767975
28,0.703797,0.755958
29,0.696838,0.759353
30,0.861506,0.712214
31,0.706152,0.705058
32,0.708159,0.866939
33,0.887564,0.69887
34,0.713066,0.86925
35,0.885182,0.862432
36,0.70011,0.574947
37,0.573361,0.568778
38,0.885144,0.874438
39,0.881169,0.762771
40,0.570316,0.708744
41,0.884387,0.576812
42,0.568731,0.866863
43,0.571013,0.887956
44,0.701106,0.692662
45,0.720078,0.881009
46,0.707551,0.872496
47,0.703942,0.878163
48,0.88446,0.875826
49,0.698072,0.710998
50,0.69462,0.700085
51,0.696561,0.702088
52,0.697385,0.575689
53,0.850373,0.570317
54,0.760573,0.711349
55,0.879603,0.573489
56,0.878003,0.697296
57,0.88222,0.712147
58,0.705241,0.70658
59,0.874515,0.702675
60,0.571433,0.705078
61,0.854969,0.762939
62,0.698902,0.700254
63,0.568939,0.570895
64,0.697543,0.770379
65,0.87946,0.869018
66,0.574445,0.705423
67,0.713555,0.573047
68,0.872511,0.697797
69,0.700121,0.573669
70,0.876097,0.690236
71,0.705457,0.707124
72,0.699651,0.566685
73,0.691037,0.705069
74,0.703722,0.693084
75,0.809029,0.760107
76,0.767703,0.707533
77,0.703128,0.569177
78,0.573609,0.874387
79,0.57612,0.573739
80,0.575607,0.868088
81,0.764863,0.709458
82,0.711843,0.569853
83,0.707939,0.7039
84,0.879356,0.573602
85,0.696028,0.706134
86,0.696245,0.894903
87,0.578221,0.579189
88,0.579221,0.70925
89,0.770207,0.570216
90,0.859618,0.574718
91,0.86021,0.57634
92,0.764637,0.875729
93,0.572797,0.708965
94,0.710381,0.711961
95,0.813076,0.567023
96,0.699522,0.703688
97,0.698665,0.57309
98,0.742834,0.880435
99,0.69757,0.706454
100,0.706872,0.708481
