,V1,V2,V3
1,0.00016092,0.000124239,6.34E-05
2,0.000221116,0.000101513,5.93E-05
3,0.000182668,0.000129946,6.30E-05
4,0.00017459,0.00012209,4.78E-05
5,0.000202376,8.13E-05,2.48E-05
6,0.000173807,0.000116873,4.75E-05
7,0.000183358,0.00012363,5.37E-05
8,0.000183916,0.000125588,4.28E-05
9,0.00020666,0.000114792,5.89E-05
10,0.00016911,9.94E-05,4.47E-05
11,0.000153815,0.000115663,7.71E-05
12,0.00018148,0.000123539,4.53E-05
13,0.000167187,0.000115779,4.84E-05
14,0.00014893,0.000112609,3.80E-05
15,0.000223658,0.00012849,5.72E-05
16,0.000132896,0.000116691,4.72E-05
17,0.000162212,0.000104033,6.45E-05
18,0.00019054,7.50E-05,4.96E-05
19,0.000150752,9.16E-05,5.39E-05
20,0.000135622,9.79E-05,4.87E-05
21,0.000204924,0.000111431,5.58E-05
22,0.000174322,8.97E-05,5.15E-05
23,0.000178932,0.000129865,5.52E-05
24,0.000172331,0.000100247,6.57E-05
25,0.000209806,0.0001158,4.39E-05
26,0.000170997,9.47E-05,6.34E-05
27,0.000162902,8.34E-05,6.30E-05
28,0.000161592,0.000123258,5.95E-05
29,0.000202035,0.000121193,4.34E-05
30,0.000195273,0.000121302,5.49E-05
31,0.000154443,0.000149952,5.65E-05
32,0.000179001,0.000103824,6.73E-05
33,0.000173969,0.0001269,3.42E-05
34,0.000157384,0.000106141,5.31E-05
35,0.000194534,8.37E-05,5.75E-05
36,0.000192146,0.000143684,5.10E-05
37,0.000186227,9.57E-05,5.15E-05
38,0.00014993,8.06E-05,6.27E-05
39,0.000185611,9.75E-05,2.80E-05
40,0.00018964,0.000110974,3.55E-05
41,0.000225462,9.61E-05,5.42E-05
42,0.000164388,0.000130102,5.00E-05
43,0.000201335,8.73E-05,4.43E-05
44,0.000172333,9.16E-05,4.22E-05
45,0.000188978,0.000101028,5.95E-05
46,0.000177764,0.000136555,4.13E-05
47,0.000195935,0.000126424,4.02E-05
48,0.000169536,6.66E-05,6.50E-05
49,0.000159692,9.20E-05,3.58E-05
50,0.000161433,9.20E-05,3.61E-05
51,0.000167049,0.000114966,5.12E-05
52,0.00014283,0.000124387,7.19E-05
53,0.000164836,0.000120272,4.44E-05
54,0.000218712,0.000123233,5.78E-05
55,0.00019099,7.46E-05,4.86E-05
56,0.000172626,8.59E-05,6.33E-05
57,0.000179881,9.94E-05,4.66E-05
58,0.000155331,8.84E-05,5.34E-05
59,0.000178147,0.000109721,2.35E-05
60,0.000171658,0.000113419,5.07E-05
61,0.00019281,0.000139409,6.56E-05
62,0.000174402,0.000105504,6.35E-05
63,0.000169989,9.51E-05,4.48E-05
64,0.000194625,0.000109995,3.91E-05
65,0.000188775,8.88E-05,4.81E-05
66,0.000168659,0.000100445,5.39E-05
67,0.000190409,0.000120646,5.19E-05
68,0.0001461,0.000100052,7.29E-05
69,0.000177237,0.000119481,5.63E-05
70,0.000186507,9.16E-05,4.75E-05
71,0.000224618,0.000116534,5.36E-05
72,0.000191809,8.94E-05,4.11E-05
73,0.000145263,0.000121673,5.27E-05
74,0.00015996,0.000113672,5.80E-05
75,0.00017862,8.26E-05,4.06E-05
76,0.000189289,0.000116122,7.39E-05
77,0.000160715,0.00013227,5.78E-05
78,0.000169244,8.53E-05,4.39E-05
79,0.000160371,8.96E-05,5.55E-05
80,0.00020064,0.000119152,3.64E-05
81,0.000234097,9.46E-05,4.76E-05
82,0.000211798,0.00011048,5.69E-05
83,0.000206831,8.32E-05,4.46E-05
84,0.000203205,8.93E-05,6.46E-05
85,0.000157608,0.000107845,4.40E-05
86,0.000208945,0.000113319,7.28E-05
87,0.000132331,7.96E-05,3.18E-05
88,0.000202281,0.000114088,4.35E-05
89,0.000158573,0.000103028,3.93E-05
90,0.000159472,0.000113862,4.04E-05
91,0.000168366,0.000123952,5.86E-05
92,0.000162976,0.00010824,7.90E-05
93,0.000183053,0.000120915,4.02E-05
94,0.000148653,0.000128398,6.34E-05
95,0.00020379,9.06E-05,4.44E-05
96,0.000189164,0.000111361,4.33E-05
97,0.000177243,7.85E-05,6.82E-05
98,0.000184755,0.00012046,5.97E-05
99,0.000195937,0.00014158,4.07E-05
100,0.000178138,0.000100795,4.07E-05
