,V1,V2,V3
1,0.000162565,0.000112373,4.28E-05
2,0.00020025,0.00012713,4.67E-05
3,0.000207421,0.000128433,5.47E-05
4,0.000193207,0.000100081,6.17E-05
5,0.00018725,0.000122034,3.76E-05
6,0.000208449,0.000120073,6.18E-05
7,0.000220492,0.000106919,4.56E-05
8,0.000153674,0.000114811,6.37E-05
9,0.000184057,0.000116421,6.30E-05
10,0.000193779,0.000129036,4.55E-05
11,0.000189743,0.000101007,5.03E-05
12,0.000169867,0.000112844,5.50E-05
13,0.000187291,0.000106568,4.43E-05
14,0.000195023,0.000115762,4.93E-05
15,0.000165114,0.000131401,4.92E-05
16,0.000172228,9.35E-05,4.72E-05
17,0.000182621,0.000125133,5.03E-05
18,0.000192843,0.000121932,5.71E-05
19,0.000192424,0.000118159,5.88E-05
20,0.000187603,0.000119688,5.39E-05
21,0.000210752,9.64E-05,4.74E-05
22,0.000184895,9.71E-05,6.15E-05
23,0.000191831,0.000112606,4.57E-05
24,0.000192176,0.000110036,4.02E-05
25,0.000195404,0.000129904,4.89E-05
26,0.000158755,0.000125835,4.92E-05
27,0.000166872,9.35E-05,3.60E-05
28,0.000201572,8.84E-05,4.87E-05
29,0.000194136,8.79E-05,3.41E-05
30,0.000189364,0.000102803,6.54E-05
31,0.000190285,0.000103849,6.85E-05
32,0.000186059,0.000123689,5.99E-05
33,0.000158971,0.000123292,4.25E-05
34,0.000204102,0.00011043,5.42E-05
35,0.000221872,0.000129448,5.56E-05
36,0.000196922,0.000111818,4.49E-05
37,0.000151161,0.000123759,4.97E-05
38,0.000185186,0.000122997,5.66E-05
39,0.000163404,0.000123107,4.75E-05
40,0.000195327,9.99E-05,4.58E-05
41,0.000197165,0.000104844,4.58E-05
42,0.000192766,9.29E-05,6.30E-05
43,0.000203659,0.000111743,5.07E-05
44,0.000215271,0.000132307,4.70E-05
45,0.000218017,0.000122728,4.88E-05
46,0.000186558,0.000112864,4.63E-05
47,0.000191579,0.00010616,5.94E-05
48,0.000204883,0.000105031,6.07E-05
49,0.000205474,0.00010886,4.51E-05
50,0.000198775,0.000130865,5.28E-05
51,0.00020618,8.30E-05,5.75E-05
52,0.000170783,0.000109863,4.51E-05
53,0.00015406,0.000111197,5.11E-05
54,0.000186323,0.000115876,5.29E-05
55,0.000196083,0.000126348,3.78E-05
56,0.000208008,9.97E-05,4.44E-05
57,0.000187703,0.000108382,6.21E-05
58,0.000194414,0.000121607,5.94E-05
59,0.000183135,0.000113044,4.16E-05
60,0.000183044,0.00010903,4.96E-05
61,0.000202461,0.000121921,5.11E-05
62,0.00020053,0.000128436,6.91E-05
63,0.000183868,0.000103508,5.13E-05
64,0.000226393,0.000115232,6.29E-05
65,0.000166046,0.000105849,4.88E-05
66,0.000199,0.000125263,6.23E-05
67,0.000206499,9.18E-05,5.16E-05
68,0.000161186,0.000129836,5.21E-05
69,0.00016823,9.09E-05,4.05E-05
70,0.000156273,8.49E-05,5.59E-05
71,0.000219397,0.000126583,5.82E-05
72,0.000183986,0.00010538,6.18E-05
73,0.000193775,0.000107291,5.54E-05
74,0.000187617,0.000112668,7.40E-05
75,0.000169899,0.000106411,5.08E-05
76,0.000221356,0.000108632,5.32E-05
77,0.000198483,9.79E-05,4.98E-05
78,0.00015568,0.000106897,3.93E-05
79,0.000178169,0.000107752,4.83E-05
80,0.000187929,0.000115676,3.84E-05
81,0.000170123,9.64E-05,6.55E-05
82,0.000215872,9.83E-05,7.60E-05
83,0.000194937,0.000136977,5.59E-05
84,0.000184752,0.000127718,5.13E-05
85,0.000169315,9.39E-05,3.82E-05
86,0.000211613,0.000113449,5.91E-05
87,0.000172358,0.000114303,5.88E-05
88,0.000184265,8.88E-05,6.10E-05
89,0.000211863,0.000113063,4.85E-05
90,0.000209408,0.000102229,4.39E-05
91,0.000244038,0.000139001,6.11E-05
92,0.00020548,0.000108418,4.52E-05
93,0.000189561,0.000131713,4.89E-05
94,0.000205212,0.000126921,5.14E-05
95,0.000192939,0.000117494,5.44E-05
96,0.000177719,0.000116803,5.52E-05
97,0.000183244,0.00010049,4.86E-05
98,0.000219805,0.000111137,5.96E-05
99,0.000186506,0.000108211,4.45E-05
100,0.000196347,9.79E-05,5.15E-05
