,V1,V2,V3
1,0.99866,0.99863,0.998593
2,0.848253,0.883147,0.998628
3,0.998528,0.998629,0.86852
4,0.710223,0.998872,0.887526
5,0.848171,0.738765,0.879903
6,0.867246,0.8733,0.884689
7,0.998514,0.871498,0.76199
8,0.99856,0.864699,0.998595
9,0.839045,0.998573,0.88121
10,0.88119,0.88981,0.998644
11,0.855518,0.867873,0.763693
12,0.851217,0.877545,0.8696
13,0.712397,0.854561,0.887309
14,0.998515,0.870235,0.881189
15,0.860208,0.859116,0.886401
16,0.85679,0.998593,0.865782
17,0.998537,0.87514,0.998582
18,0.856184,0.998599,0.876252
19,0.843476,0.882721,0.998579
20,0.870243,0.998578,0.878449
21,0.853702,0.998547,0.756667
22,0.998556,0.868074,0.99864
23,0.846637,0.880306,0.873931
24,0.998575,0.998593,0.884967
25,0.861938,0.863439,0.757373
26,0.998524,0.861703,0.998643
27,0.87026,0.754183,0.875929
28,0.708136,0.998573,0.998623
29,0.864989,0.878318,0.875123
30,0.865461,0.998582,0.867525
31,0.888216,0.998581,0.874039
32,0.868464,0.870105,0.882882
33,0.720766,0.869373,0.88212
34,0.855093,0.861044,0.766017
35,0.883963,0.865491,0.998632
36,0.99852,0.876542,0.882699
37,0.99852,0.998627,0.998632
38,0.851809,0.880069,0.998567
39,0.883723,0.883203,0.878788
40,0.998621,0.745131,0.883238
41,0.844255,0.998591,0.879913
42,0.887454,0.884773,0.879807
43,0.864848,0.747403,0.885475
44,0.998557,0.998579,0.87961
45,0.854079,0.880507,0.998587
46,0.868563,0.877195,0.885865
47,0.707206,0.873959,0.998604
48,0.863377,0.878724,0.886008
49,0.852513,0.998606,0.758108
50,0.853221,0.87766,0.886067
51,0.872146,0.998558,0.998555
52,0.854116,0.998554,0.875485
53,0.855692,0.877159,0.881373
54,0.998524,0.998612,0.998622
55,0.847916,0.872508,0.998641
56,0.998589,0.873956,0.887235
57,0.856898,0.88217,0.880199
58,0.998528,0.998635,0.998551
59,0.998565,0.872858,0.882377
60,0.854777,0.883009,0.99855
61,0.864702,0.863962,0.879416
62,0.861743,0.998574,0.873076
63,0.998517,0.882662,0.888856
64,0.889654,0.881322,0.875006
65,0.876686,0.746328,0.753957
66,0.883491,0.878707,0.99863
67,0.884771,0.879931,0.77181
68,0.854233,0.998452,0.998556
69,0.867901,0.75217,0.998626
70,0.856857,0.998566,0.998623
71,0.85195,0.998589,0.875644
72,0.839283,0.748584,0.873104
73,0.998546,0.755329,0.998639
74,0.845415,0.873968,0.766218
75,0.845615,0.87224,0.761199
76,0.690171,0.998608,0.998586
77,0.853834,0.876325,0.889001
78,0.839935,0.87946,0.998566
79,0.998517,0.873764,0.881125
80,0.998515,0.869114,0.998628
81,0.866127,0.879024,0.88858
82,0.724993,0.998572,0.890057
83,0.856691,0.998634,0.883238
84,0.998519,0.872607,0.998563
85,0.870124,0.876772,0.998572
86,0.860802,0.881003,0.998587
87,0.998528,0.998561,0.881163
88,0.858291,0.879992,0.882178
89,0.8425,0.884206,0.88332
90,0.998563,0.998562,0.884974
91,0.998531,0.875559,0.998599
92,0.846952,0.998613,0.874468
93,0.998541,0.998596,0.998571
94,0.866875,0.879936,0.99859
95,0.83677,0.872034,0.88179
96,0.877497,0.87138,0.755555
97,0.998568,0.85695,0.888098
98,0.998571,0.99854,0.9986
99,0.880816,0.752052,0.881143
100,0.840875,0.882334,0.998639
