,V1,V2,V3
1,0.848974,0.884188,0.999965
2,0.849233,0.884207,0.869538
3,0.710504,0.999729,0.753837
4,0.686911,0.739293,0.769697
5,0.719985,0.660905,0.762389
6,0.868307,0.80115,0.647067
7,0.999953,0.744644,0.762726
8,0.839832,0.865805,0.882274
9,0.729586,0.890918,0.882251
10,0.736913,0.757794,0.764471
11,0.705312,0.759616,0.851965
12,0.636302,0.754485,0.80956
13,0.713574,0.78098,0.771858
14,0.861138,0.743493,0.765977
15,0.716184,0.860093,0.754466
16,0.857707,0.876152,0.866886
17,0.857318,0.876168,0.877337
18,0.718457,0.883746,0.877322
19,0.713871,0.883784,0.879595
20,0.80001,0.999969,0.688354
21,0.854623,0.869126,0.75743
22,0.847743,0.753909,0.874896
23,0.847781,0.88132,0.756567
24,0.863285,0.864386,0.64348
25,0.86303,0.799302,0.758132
26,0.871165,0.609091,0.876982
27,0.641968,0.754819,0.876997
28,0.608614,0.879367,0.876155
29,0.783819,0.879311,0.754262
30,0.820814,0.999999,0.747089
31,0.811077,0.871117,0.766226
32,0.651567,0.74691,0.763576
33,0.586076,0.743446,0.63982
34,0.800225,0.741401,0.766806
35,0.884731,0.740353,0.883711
36,0.999999,0.877681,0.883656
37,0.85318,0.881001,0.999935
38,0.735944,0.818409,0.879917
39,0.884374,0.676818,0.760822
40,0.845954,0.745885,0.819537
41,0.732046,0.885732,0.76038
42,0.752232,0.623846,0.768821
43,0.865833,0.748081,0.817453
44,0.855082,0.881578,0.880619
45,0.741697,0.756121,0.886878
46,0.79553,0.755949,0.886876
47,0.671269,0.807507,0.887023
48,0.926471,0.879749,0.63629
49,0.705476,0.878829,0.695689
50,0.778536,0.878797,0.887097
51,0.738515,0.999997,0.876525
52,0.709634,0.878148,0.754754
53,0.857119,0.87825,0.882384
54,0.849121,0.873561,0.999979
55,0.848897,0.755798,0.888195
56,0.858273,0.753836,0.820446
57,0.857943,0.883152,0.881046
58,0.999961,0.873782,0.88341
59,0.855919,0.824668,0.883334
60,0.720003,0.744631,0.880492
61,0.780778,0.865036,0.757174
62,0.862958,0.883668,0.816151
63,0.890486,0.995589,0.824083
64,0.82081,0.628134,0.626259
65,0.814818,0.73643,0.754657
66,0.825866,0.756971,0.77258
67,0.744163,0.880724,0.772575
68,0.757307,0.752572,0.99993
69,0.780363,0.752746,0.999998
70,0.756645,0.999977,0.876638
71,0.71773,0.749418,0.9836
72,0.840306,0.529873,0.874066
73,0.846177,0.63038,0.766843
74,0.942355,0.811072,0.57457
75,0.65675,0.873303,0.761941
76,0.64377,0.877298,0.890049
77,0.747815,0.753436,0.890035
78,0.841104,0.821581,0.882159
79,0.999999,0.796543,0.882076
80,0.86712,0.756794,0.889648
81,0.712611,0.880016,0.832845
82,0.578131,0.999938,0.827009
83,0.857707,0.873744,0.884243
84,0.870898,0.756721,0.999992
85,0.746404,0.755838,0.999984
86,0.861676,0.881966,0.882197
87,0.859025,0.881025,0.761475
88,0.699044,0.762446,0.76362
89,0.843325,0.885177,0.823385
90,0.999971,0.876633,0.885949
91,0.848035,0.876642,0.875353
92,0.847868,0.999983,0.875371
93,0.867836,0.880856,0.999981
94,0.712764,0.80742,0.882822
95,0.713602,0.810115,0.633024
96,0.878528,0.737977,0.69143
97,0.999996,0.857992,0.889046
98,0.8815,0.752601,0.882208
99,0.720807,0.69872,0.882171
