,V1,V2,V3
1,0.925859,0.8739,0.873168
2,0.602475,0.998539,0.895943
3,0.602523,0.896161,0.769647
4,0.869575,0.880392,0.998577
5,0.628414,0.887289,0.998615
6,0.72542,0.893141,0.998563
7,0.761759,0.869445,0.893498
8,0.797618,0.760429,0.998578
9,0.602654,0.99863,0.888234
10,0.99728,0.886765,0.890304
11,0.625974,0.787131,0.885826
12,0.779498,0.998557,0.890056
13,0.989419,0.76921,0.900621
14,0.64291,0.866493,0.897043
15,0.77211,0.880559,0.890985
16,0.870034,0.898084,0.792878
17,0.899765,0.758936,0.896815
18,0.917259,0.87904,0.897705
19,0.707657,0.866211,0.784362
20,0.652517,0.89526,0.895179
21,0.730987,0.870237,0.8943
22,0.816815,0.998602,0.896003
23,0.851066,0.871249,0.765015
24,0.74093,0.879853,0.998556
25,0.786189,0.875122,0.888368
26,0.747361,0.773864,0.891102
27,0.835815,0.998615,0.998589
28,0.842768,0.882765,0.887245
29,0.648451,0.767011,0.998594
30,0.574586,0.881778,0.776577
31,0.603876,0.998565,0.8821
32,0.877048,0.998625,0.880303
33,0.775764,0.998574,0.791867
34,0.842971,0.998546,0.883705
35,0.880518,0.998614,0.882606
36,0.831608,0.998606,0.877331
37,0.754171,0.998613,0.883873
38,0.735645,0.777323,0.998556
39,0.838697,0.89362,0.783747
40,0.592943,0.870086,0.889913
41,0.882058,0.888597,0.785213
42,0.746896,0.883806,0.893688
43,0.789377,0.890627,0.777734
44,0.620373,0.884911,0.998607
45,0.998444,0.998631,0.799407
46,0.840997,0.998595,0.998597
47,0.697675,0.874532,0.885572
48,0.821029,0.763389,0.767698
49,0.602555,0.99863,0.893188
50,0.659043,0.897987,0.779126
51,0.844558,0.9986,0.898345
52,0.877045,0.998572,0.888955
53,0.723736,0.887769,0.890824
54,0.854967,0.773187,0.882382
55,0.905692,0.865901,0.998615
56,0.764066,0.892759,0.998565
57,0.583127,0.998563,0.998624
58,0.758521,0.884561,0.897892
59,0.852626,0.888388,0.998583
60,0.785133,0.886028,0.998588
61,0.653274,0.998631,0.998546
62,0.604932,0.880479,0.998575
63,0.88011,0.895395,0.897415
64,0.797376,0.901439,0.998564
65,0.750142,0.998583,0.894583
66,0.823436,0.867454,0.998576
67,0.837636,0.89236,0.877327
68,0.880856,0.8742,0.882109
69,0.837009,0.998562,0.998566
70,0.758055,0.99862,0.998582
71,0.776331,0.890586,0.894099
72,0.743592,0.895566,0.897252
73,0.835349,0.871388,0.779496
74,0.904262,0.998576,0.770354
75,0.903278,0.998561,0.89705
76,0.86952,0.88434,0.998545
77,0.841254,0.998553,0.998635
78,0.708421,0.893429,0.880881
79,0.592182,0.998617,0.766971
80,0.737881,0.887254,0.873124
81,0.998356,0.876138,0.998567
82,0.72644,0.896311,0.998588
83,0.875335,0.868252,0.786715
84,0.879846,0.872468,0.875132
85,0.573053,0.894195,0.786027
86,0.672168,0.890862,0.767794
87,0.820518,0.882389,0.998565
88,0.80268,0.750966,0.887103
89,0.813334,0.759699,0.885923
90,0.658245,0.773074,0.998618
91,0.771614,0.884099,0.895414
92,0.873947,0.656176,0.879059
93,0.73666,0.883378,0.876571
94,0.81276,0.882389,0.998617
95,0.672884,0.757965,0.998569
96,0.74578,0.888722,0.893583
97,0.998393,0.766419,0.879069
98,0.628332,0.773511,0.78411
99,0.840929,0.865549,0.878251
100,0.874171,0.998578,0.882766
