,V2,V2,V2
1,0.299036,0.174227,0.12766
2,0.302006,0.346759,0.185034
3,0.314215,0.348376,0.216716
4,0.297074,0.258427,0.177314
5,0.366852,0.261798,0.201492
6,0.366673,0.257596,0.179615
7,0.365254,0.25851,0.191529
8,0.369533,0.263845,0.181929
9,0.362062,0.352777,0.239006
10,0.131605,0.354579,0.10963
11,0.144412,0.349331,0.150216
12,0.135843,0.351079,0.165551
13,0.124369,0.35269,0.154166
14,0.126403,0.34869,0.0894689
15,0.14662,0.314944,0.248198
16,0.136413,0.309889,0.145096
17,0.116931,0.316155,0.232712
18,0.117988,0.318624,0.175164
19,0.117619,0.318629,0.204983
20,0.112949,0.410854,0.173629
21,0.113715,0.409141,0.174851
22,0.12832,0.408098,0.0968086
23,0.111925,0.409575,0.182511
24,0.334484,0.412568,0.193231
25,0.333246,0.451385,0.1629
26,0.32955,0.458694,0.161784
27,0.325935,0.457468,0.245351
28,0.336016,0.450399,0.171779
29,0.333535,0.450371,0.175783
30,0.334555,0.457051,0.151009
31,0.326255,0.321854,0.14351
32,0.323385,0.328216,0.141464
33,0.330447,0.318871,0.30756
34,0.330878,0.320256,0.188108
35,0.334382,0.32691,0.209889
36,0.211477,0.318172,0.191941
37,0.216231,0.174117,0.196725
38,0.203434,0.170558,0.139335
39,0.207764,0.17469,0.211175
40,0.214213,0.175452,0.211666
41,0.210112,0.174724,0.238469
42,0.212589,0.348136,0.193106
43,0.200506,0.347553,0.195087
44,0.213277,0.34708,0.229438
45,0.219117,0.344593,0.23619
46,0.212714,0.34602,0.129119
47,0.259783,0.418023,0.128429
48,0.264822,0.418444,0.176513
49,0.266903,0.418968,0.175785
50,0.26642,0.414317,0.114772
51,0.264897,0.416677,0.114524
52,0.268051,0.319908,0.199219
53,0.256874,0.313271,0.186519
54,0.263817,0.32561,0.167429
55,0.254617,0.320713,0.175733
56,0.0742526,0.31907,0.190151
57,0.0723349,0.2391,0.200196
58,0.0649531,0.244085,0.350759
59,0.0681614,0.23371,0.343781
60,0.0695252,0.23893,0.244776
61,0.0718974,0.237042,0.239411
62,0.066195,0.23336,0.266301
63,0.0662225,0.287714,0.266848
64,0.171703,0.271234,0.241629
65,0.174592,0.282037,0.246546
66,0.164583,0.288152,0.138942
67,0.293562,0.277492,0.133882
68,0.28488,0.285821,0.149157
69,0.294267,0.284975,0.142013
70,0.292684,0.280978,0.214051
71,0.238904,0.28134,0.21849
72,0.240174,0.278818,0.199663
73,0.234478,0.514643,0.202236
74,0.233108,0.515766,0.201075
75,0.301744,0.515878,0.170672
76,0.30752,0.517746,0.171033
77,0.303089,0.516119,0.186272
78,0.158823,0.509361,0.192562
79,0.164574,0.318521,0.130731
80,0.156085,0.32921,0.135842
81,0.254964,0.327289,0.187767
82,0.254026,0.322201,0.105499
83,0.26227,0.331782,0.102418
84,0.35178,0.328696,0.0990254
85,0.348805,0.342193,0.177168
86,0.351168,0.334568,0.169487
87,0.357829,0.342359,0.190561
88,0.171795,0.355116,0.185437
89,0.173875,0.349455,0.132329
90,0.172592,0.27705,0.141652
91,0.169679,0.272976,0.167837
92,0.173574,0.274916,0.18128
93,0.225443,0.28022,0.139993
94,0.225109,0.280307,0.141821
95,0.218889,0.273693,0.242591
96,0.225203,0.237213,0.235376
97,0.283312,0.235038,0.144202
98,0.275032,0.230881,0.151775
99,0.281935,0.223667,0.290508
100,0.184462,0.214936,0.290047
