,V2,V2,V2
1,0.309944,0.262863,0.0910702
2,0.305466,0.267262,0.139994
3,0.219789,0.18665,0.0601412
4,0.230828,0.185185,0.152887
5,0.223566,0.190408,0.0795014
6,0.226904,0.194124,0.0842803
7,0.224935,0.20815,0.122557
8,-0.0196735,0.201872,0.0670252
9,-0.0360766,0.110796,0.0750133
10,0.146644,0.11457,0.145461
11,0.130132,0.240411,0.148673
12,0.147414,0.26242,0.222975
13,0.199835,0.104098,0.219349
14,0.208585,0.120174,0.103225
15,0.20169,0.202201,0.0972101
16,0.187391,0.338416,0.130137
17,0.197668,0.356854,0.135086
18,0.189906,0.290919,0.10748
19,0.192993,0.290034,0.153481
20,0.16062,0.227751,0.144206
21,0.170418,0.187335,0.0255348
22,0.0636433,0.176681,0.0251317
23,0.0515167,0.168153,0.139448
24,0.123074,0.19469,0.147857
25,0.127965,0.186176,0.0430536
26,0.123225,0.194392,0.106697
27,0.182915,0.419656,0.111999
28,0.183277,0.420733,0.103624
29,0.117049,0.4317,0.100725
30,0.115164,0.423098,0.140432
31,0.096972,0.168929,0.152322
32,0.109427,0.174109,0.104519
33,0.144796,0.180795,0.102145
34,0.144356,0.175573,0.111384
35,0.143119,0.129466,0.112338
36,0.101024,0.122283,0.0957518
37,0.100488,0.135692,0.0976281
38,0.1062,0.130138,0.143737
39,0.162162,0.134836,0.114507
40,0.164259,0.294723,0.121046
41,0.164974,0.29449,0.172324
42,0.161354,0.297015,0.176168
43,0.113531,0.298251,0.220607
44,0.101752,0.127865,0.231467
45,0.113348,0.128076,0.0385282
46,0.237208,0.133554,0.117625
47,0.240283,0.125364,0.123171
48,0.23526,0.265739,0.0748015
49,0.257411,0.270157,0.0744456
50,0.255422,0.26697,0.0239578
51,0.259922,0.272643,0.0282192
52,0.0351572,0.124553,0.0954194
53,0.0588925,0.125937,0.101004
54,0.0472802,0.126249,0.0932833
55,0.174251,0.113744,0.0791167
56,0.17891,0.214474,0.0743069
57,0.123761,0.189363,0.0576461
58,0.121894,0.201704,0.0585726
59,0.123404,0.201554,0.137412
60,0.195201,0.205127,0.140049
61,0.201445,0.202249,0.0758302
62,0.19492,0.210551,0.068026
63,0.19617,0.199187,0.0664535
64,0.1184,0.199458,0.135728
65,0.125919,0.197015,0.132747
66,0.152078,0.210203,0.0998385
67,0.14732,0.203135,0.0977935
68,0.162237,0.168484,0.103474
69,0.145796,0.17802,0.111972
70,0.124788,0.175366,0.0897833
71,0.115331,0.169396,0.0901679
72,0.117864,0.103671,0.0861975
73,0.120868,0.0998718,0.102626
74,0.110683,0.0771807,0.0999252
75,0.111819,0.101731,0.118401
76,0.120601,0.103702,0.120656
77,0.109143,0.274028,0.0499598
78,0.106711,0.279213,0.0907212
79,0.118467,0.279969,0.0911066
80,0.104947,0.273829,0.0799511
81,0.113074,0.157195,0.0782418
82,0.0986177,0.157075,0.100412
83,0.103039,0.148234,0.0928289
84,0.128099,0.144305,0.122655
85,0.127959,0.149943,0.133419
86,0.123765,0.136891,0.168552
87,0.137609,0.140767,0.17533
88,0.129243,0.140736,0.109718
89,0.141069,0.139711,0.0491583
90,0.130823,0.13371,0.166148
91,0.131523,0.19841,0.142212
92,0.136372,0.18639,0.160469
93,0.136175,0.194424,0.0335576
94,0.206946,0.192536,0.0776195
95,0.204854,0.208119,0.168734
96,0.212171,0.21475,0.072153
97,0.215511,0.219447,0.0854474
98,0.197851,0.223223,0.131219
99,0.212521,0.311504,0.192122
100,0.212996,0.315065,0.0743393
