,V2,V2,V2
1,0.242099,0.406837,0.28796
2,0.243376,0.398697,0.291676
3,0.240631,0.405151,0.2922
4,0.238485,0.401507,0.294136
5,0.24166,0.404711,0.289696
6,0.238778,0.405835,0.299262
7,0.240609,0.407443,0.295843
8,0.24138,0.399671,0.293156
9,0.242298,0.402913,0.293005
10,0.23823,0.408224,0.290613
11,0.245865,0.4087,0.295635
12,0.239012,0.403452,0.294603
13,0.239209,0.410205,0.296779
14,0.239219,0.402388,0.294498
15,0.24024,0.408147,0.292258
16,0.237874,0.40287,0.299695
17,0.240623,0.402307,0.295232
18,0.236263,0.404861,0.289936
19,0.23949,0.405719,0.299473
20,0.23958,0.399747,0.293838
21,0.23894,0.398128,0.295876
22,0.234882,0.403564,0.299
23,0.242104,0.410974,0.294575
24,0.233087,0.40195,0.292684
25,0.236916,0.404437,0.295257
26,0.240591,0.405824,0.291589
27,0.237748,0.406286,0.295534
28,0.240654,0.407947,0.296311
29,0.237017,0.407847,0.293949
30,0.240028,0.404221,0.294257
31,0.235967,0.404446,0.290288
32,0.238616,0.406952,0.291459
33,0.24629,0.405692,0.285653
34,0.234383,0.409238,0.290805
35,0.23839,0.404819,0.286209
36,0.243992,0.402725,0.292623
37,0.23968,0.402609,0.291157
38,0.240365,0.401958,0.295718
39,0.241918,0.404185,0.299148
40,0.238449,0.403274,0.295968
41,0.241577,0.405029,0.298082
42,0.239616,0.406602,0.292898
43,0.236484,0.407193,0.294879
44,0.242294,0.409804,0.296391
45,0.240339,0.405332,0.300556
46,0.238635,0.404297,0.295686
47,0.239431,0.403097,0.290817
48,0.238623,0.409015,0.304481
49,0.238163,0.407149,0.294424
50,0.241482,0.407224,0.293437
51,0.243775,0.405208,0.295243
52,0.240205,0.406963,0.291145
53,0.235438,0.408451,0.285423
54,0.235135,0.404418,0.289249
55,0.23592,0.407372,0.299459
56,0.236742,0.406654,0.295949
57,0.237461,0.410414,0.297489
58,0.24151,0.40662,0.294693
59,0.24356,0.403126,0.29189
60,0.237893,0.404765,0.296048
61,0.23878,0.402153,0.299401
62,0.239485,0.40485,0.296668
63,0.238607,0.404609,0.288325
64,0.238248,0.406367,0.291702
65,0.241619,0.407617,0.290302
66,0.238526,0.407536,0.293014
67,0.236457,0.406392,0.298765
68,0.241534,0.402248,0.292209
69,0.234579,0.401285,0.291559
70,0.239803,0.402295,0.294802
71,0.244044,0.406587,0.290972
72,0.235069,0.40108,0.299839
73,0.241161,0.409282,0.292605
74,0.237335,0.406069,0.29529
75,0.237267,0.406807,0.297401
76,0.23859,0.405109,0.291574
77,0.242323,0.39995,0.294254
78,0.232572,0.407073,0.295704
79,0.240774,0.408254,0.292355
80,0.249246,0.404101,0.288711
81,0.241776,0.405453,0.291926
82,0.242521,0.406895,0.29437
83,0.241594,0.404333,0.297178
84,0.238313,0.405369,0.291214
85,0.238411,0.39981,0.294644
86,0.241575,0.408694,0.301131
87,0.241664,0.408068,0.290269
88,0.24402,0.403236,0.296891
89,0.234847,0.406524,0.291457
90,0.239527,0.402188,0.297026
91,0.238941,0.405086,0.295852
92,0.235892,0.404621,0.297465
93,0.238735,0.403734,0.293906
94,0.242495,0.401817,0.29415
95,0.239099,0.406706,0.293863
96,0.238511,0.400729,0.294326
97,0.243247,0.403699,0.294905
98,0.232649,0.399345,0.302131
99,0.243302,0.403791,0.297474
100,0.239544,0.399917,0.295102
