,V2,V2,V2
1,0.244155,0.553178,0.46469
2,0.244264,0.552313,0.461653
3,0.243186,0.548172,0.462632
4,0.237869,0.556253,0.464105
5,0.246513,0.553166,0.461237
6,0.235979,0.548255,0.46172
7,0.240198,0.555056,0.458666
8,0.235681,0.554029,0.4668
9,0.240547,0.552717,0.457024
10,0.238494,0.552903,0.463703
11,0.240303,0.552614,0.464459
12,0.243102,0.552619,0.457453
13,0.23873,0.550703,0.460309
14,0.237297,0.556107,0.461885
15,0.23773,0.556158,0.460778
16,0.240582,0.556187,0.462485
17,0.238859,0.554893,0.460699
18,0.240202,0.552989,0.460747
19,0.239674,0.548334,0.465137
20,0.236824,0.550004,0.460435
21,0.241004,0.548812,0.461814
22,0.244307,0.551646,0.465881
23,0.240027,0.551746,0.462685
24,0.239424,0.554178,0.4667
25,0.243693,0.551874,0.461981
26,0.239128,0.55022,0.460877
27,0.237227,0.552609,0.464239
28,0.234096,0.551946,0.46114
29,0.239715,0.554089,0.4628
30,0.245665,0.551949,0.462343
31,0.239498,0.556144,0.457811
32,0.242822,0.551305,0.462505
33,0.238131,0.552435,0.458534
34,0.242168,0.551062,0.463541
35,0.236912,0.55099,0.462666
36,0.239133,0.553174,0.458468
37,0.238514,0.554292,0.46363
38,0.240504,0.5512,0.462166
39,0.236426,0.549196,0.465141
40,0.235482,0.552,0.460212
41,0.24042,0.552894,0.462449
42,0.236243,0.557463,0.463119
43,0.239141,0.551563,0.46244
44,0.240498,0.557186,0.459532
45,0.241518,0.553365,0.457926
46,0.238356,0.555156,0.467845
47,0.239934,0.555463,0.464862
48,0.238405,0.551777,0.457205
49,0.233498,0.551883,0.469515
50,0.242989,0.548954,0.464638
51,0.242217,0.552882,0.460943
52,0.241008,0.552916,0.460781
53,0.236651,0.553565,0.461251
54,0.240072,0.549265,0.462476
55,0.241114,0.55162,0.460395
56,0.239262,0.551084,0.462054
57,0.236067,0.555178,0.464061
58,0.236458,0.550312,0.461676
59,0.242936,0.555156,0.459825
60,0.235708,0.548379,0.461347
61,0.242238,0.554142,0.459696
62,0.237296,0.551448,0.458842
63,0.245268,0.549861,0.463628
64,0.233716,0.551186,0.464849
65,0.238806,0.550212,0.462424
66,0.237176,0.555362,0.463844
67,0.243518,0.556581,0.465601
68,0.241106,0.554654,0.459428
69,0.236277,0.553648,0.46373
70,0.245516,0.548314,0.461636
71,0.242315,0.556334,0.462611
72,0.239923,0.551939,0.459658
73,0.235549,0.554188,0.463068
74,0.244702,0.551567,0.459459
75,0.239803,0.549232,0.45593
76,0.235645,0.554085,0.464342
77,0.238886,0.552455,0.458093
78,0.243535,0.551715,0.461241
79,0.244502,0.55342,0.464102
80,0.236351,0.548646,0.462619
81,0.240184,0.552152,0.461889
82,0.243737,0.55446,0.464362
83,0.2431,0.549579,0.464155
84,0.237328,0.552315,0.467628
85,0.240187,0.55359,0.465435
86,0.23676,0.54969,0.462315
87,0.244051,0.549622,0.462376
88,0.236191,0.55325,0.46362
89,0.240572,0.547498,0.464189
90,0.234866,0.552147,0.464062
91,0.23659,0.548422,0.463393
92,0.23819,0.554053,0.467347
93,0.24087,0.55722,0.462402
94,0.240211,0.554252,0.462994
95,0.238835,0.554429,0.461606
96,0.237909,0.549874,0.462304
97,0.239421,0.553863,0.463942
98,0.238194,0.555742,0.464622
99,0.242337,0.551833,0.46279
100,0.238537,0.549623,0.46302
