,V1,V3,V1
1,0.269362,0.461447,0.0972218
2,0.256288,0.626448,0.161145
3,0.264024,0.643824,0.152919
4,0.252293,0.677655,0.168028
5,0.2503,0.567863,0.16569
6,0.234445,0.621081,0.160129
7,0.278966,0.606191,0.160073
8,0.260441,0.69593,0.0526681
9,0.275162,0.631316,0.057945
10,0.232324,0.680748,0.0580722
11,0.28908,0.675606,0.0586623
12,0.271628,0.671933,0.155143
13,0.274085,0.347842,0.160008
14,0.28099,0.633939,0.160136
15,0.266296,0.546679,0.165846
16,0.299332,0.637997,0.156166
17,0.251361,0.649448,0.153354
18,0.270216,0.674882,0.159981
19,0.251473,0.532277,0.163951
20,0.251539,0.69041,0.155024
21,0.232854,0.666026,0.209081
22,0.286674,0.593593,0.210842
23,0.266233,0.746979,0.211842
24,0.282991,0.670903,0.209635
25,0.276257,0.634375,0.211394
26,0.26025,0.551941,0.212167
27,0.256486,0.822994,0.207615
28,0.288747,0.627775,0.123198
29,0.242846,0.553568,0.113165
30,0.250179,0.537987,0.112729
31,0.258404,0.716815,0.120464
32,0.254316,0.670325,0.110568
33,0.259465,0.86749,0.116833
34,0.327131,0.558912,0.116056
35,0.233957,0.584639,0.117202
36,0.237363,0.693307,0.112814
37,0.279101,0.733393,0.117994
38,0.257081,0.702799,0.130549
39,0.238999,0.454037,0.109469
40,0.290409,0.624615,0.121628
41,0.255508,0.642225,0.12391
42,0.288115,0.526101,0.116266
43,0.230325,0.513464,0.189992
44,0.288699,0.686955,0.184456
45,0.248569,0.585524,0.190169
46,0.247045,0.738883,0.187724
47,0.240154,0.674574,0.189454
48,0.276065,0.548229,0.186678
49,0.259958,0.649608,0.187019
50,0.298825,0.547227,0.196209
51,0.257419,0.780159,0.194938
52,0.255737,0.501485,0.198479
53,0.278361,0.703619,0.198508
54,0.275689,0.503209,0.197888
55,0.247154,0.621418,0.193058
56,0.219883,0.52303,0.19726
57,0.22469,0.628284,0.198317
58,0.25598,0.556512,0.028468
59,0.267846,0.542319,0.0339972
60,0.263082,0.647605,0.0250855
61,0.270098,0.566263,0.024982
62,0.220117,0.570471,0.0305733
63,0.257025,0.464151,0.0286862
64,0.251216,0.782014,0.0134047
65,0.253208,0.801608,0.018815
66,0.321918,0.477802,0.137605
67,0.264961,0.739699,0.131457
68,0.231908,0.464853,0.143733
69,0.251869,0.645796,0.133386
70,0.266525,0.510856,0.13219
71,0.295149,0.424998,0.142542
72,0.276526,0.641562,0.13624
73,0.272451,0.637131,0.0372738
74,0.294436,0.602696,0.0387855
75,0.270948,0.645392,0.039061
76,0.262172,0.670414,0.0420249
77,0.264028,0.83964,0.037162
78,0.31637,0.594654,0.0301411
79,0.26352,0.51778,0.0510691
80,0.274418,0.816149,0.0449174
81,0.261501,0.469874,0.132678
82,0.226626,0.648951,0.127085
83,0.261335,0.493917,0.114133
84,0.275726,0.669699,0.123277
85,0.281633,0.645409,0.116263
86,0.220296,0.440797,0.116131
87,0.270008,0.579833,0.120247
88,0.274856,0.858219,0.0781834
89,0.293986,0.595807,0.0771852
90,0.281759,0.602042,0.075549
91,0.282848,0.735386,0.079467
92,0.249585,0.545105,0.0733121
93,0.26587,0.543631,0.0810951
94,0.238531,0.704858,0.0794562
95,0.288478,0.593289,0.203521
96,0.274638,0.829904,0.202701
97,0.273764,0.499948,0.211482
98,0.253163,0.768987,0.208522
99,0.275962,0.833273,0.20479
100,0.258333,0.478785,0.200645
