,V1,V1,V1
1,0.338712,0.637665,0.446931
2,0.332815,0.638902,0.442295
3,0.337804,0.638689,0.444319
4,0.336895,0.637153,0.448198
5,0.339874,0.639409,0.444925
6,0.339271,0.641912,0.443994
7,0.334931,0.638487,0.446735
8,0.331078,0.641795,0.445133
9,0.334201,0.638457,0.447017
10,0.330637,0.642698,0.445399
11,0.338499,0.642676,0.448061
12,0.33828,0.639344,0.443057
13,0.33806,0.639192,0.44586
14,0.337469,0.643495,0.446352
15,0.337109,0.639904,0.4468
16,0.340397,0.644173,0.449917
17,0.336539,0.641039,0.447449
18,0.338528,0.638155,0.443947
19,0.342145,0.640969,0.444888
20,0.340937,0.639066,0.447368
21,0.335113,0.638782,0.442437
22,0.339314,0.63633,0.446372
23,0.33516,0.640227,0.447602
24,0.342471,0.639277,0.44459
25,0.339216,0.640089,0.440587
26,0.333351,0.639692,0.446619
27,0.334849,0.641902,0.446298
28,0.342317,0.640653,0.448108
29,0.335354,0.638937,0.449425
30,0.334507,0.641829,0.449507
31,0.34049,0.637614,0.445623
32,0.338816,0.640208,0.447864
33,0.337869,0.642689,0.446686
34,0.34063,0.639185,0.447067
35,0.336821,0.641035,0.441949
36,0.334896,0.640561,0.447089
37,0.340301,0.641222,0.443191
38,0.332645,0.641051,0.446614
39,0.338461,0.640105,0.445009
40,0.339926,0.641866,0.443225
41,0.336308,0.640537,0.444739
42,0.340843,0.641494,0.449082
43,0.34328,0.639303,0.444234
44,0.335589,0.63704,0.44991
45,0.342831,0.638694,0.445508
46,0.337,0.641039,0.44356
47,0.338455,0.640665,0.443535
48,0.339038,0.638183,0.446381
49,0.332591,0.641554,0.447845
50,0.34147,0.640529,0.443902
51,0.341347,0.643872,0.444435
52,0.336502,0.640945,0.446528
53,0.339283,0.641487,0.443524
54,0.343422,0.641694,0.447605
55,0.337229,0.639939,0.447629
56,0.339438,0.635793,0.447937
57,0.342727,0.638875,0.447704
58,0.339741,0.639943,0.442245
59,0.335986,0.641852,0.44821
60,0.339592,0.639153,0.440932
61,0.338571,0.636619,0.443921
62,0.342172,0.641489,0.446945
63,0.337167,0.640911,0.442015
64,0.336736,0.638984,0.44786
65,0.338253,0.638852,0.447222
66,0.339851,0.639683,0.446276
67,0.341577,0.639501,0.445024
68,0.337821,0.642462,0.444978
69,0.335178,0.643307,0.445545
70,0.33419,0.643071,0.44276
71,0.338775,0.63913,0.446616
72,0.340852,0.63888,0.444901
73,0.338387,0.636841,0.446751
74,0.336741,0.640492,0.445297
75,0.334239,0.638823,0.441216
76,0.334289,0.640288,0.441644
77,0.338079,0.639951,0.44976
78,0.334913,0.642578,0.446759
79,0.33827,0.638662,0.443907
80,0.339298,0.641289,0.447891
81,0.335973,0.641283,0.44537
82,0.338339,0.640003,0.447538
83,0.335273,0.638211,0.447026
84,0.339727,0.639331,0.448132
85,0.335928,0.641462,0.44402
86,0.336472,0.640522,0.442427
87,0.342813,0.645332,0.441519
88,0.335254,0.641712,0.447618
89,0.337655,0.637827,0.444342
90,0.336754,0.641113,0.444202
91,0.335728,0.642599,0.444366
92,0.339252,0.639037,0.44677
93,0.339525,0.642132,0.450196
94,0.337272,0.643943,0.44617
95,0.335481,0.640168,0.446178
96,0.337496,0.642722,0.446514
97,0.33967,0.640995,0.445313
98,0.342369,0.641534,0.446092
99,0.33887,0.639977,0.444754
100,0.341218,0.637994,0.445953
