,V2,V2,V2
1,1,0.283647,1
2,1,1,1
3,1,0.181116,0.181116
4,0.268328,1,1
5,1,1,1
6,1,1,0.11
7,1,1,1
8,1,0.233852,0.233852
9,0.301809,1,1
10,1,1,0.12
11,1,1,1
12,1,1,1
13,1,1,1
14,1,0.226772,0.226772
15,1,1,1
16,0.18989,1,1
17,1,1,1
18,1,1,1
19,1,0.200352,0.200352
20,1,1,1
21,1,1,0.22
22,1,1,1
23,0.059492,1,1
24,1,0.228642,0.228642
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,0.448683,0.448683
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,0.239865,1,1
36,1,0.263647,0.263647
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,0.162785,0.162785
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,0.337971,0.145535,0.145535
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,0.268659,0.268659
52,1,1,1
53,1,1,1
54,1,1,1
55,0.133876,1,1
56,1,0.169202,0.169202
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,0.151334,0.151334
63,0.101729,1,1
64,1,1,1
65,1,1,1
66,0.318424,1,1
67,1,0.197855,0.197855
68,1,1,1
69,1,1,1
70,0.249771,1,1
71,1,1,1
72,1,0.203865,0.203865
73,1,1,1
74,0.158553,1,1
75,1,1,1
76,1,1,1
77,0.271837,1,1
78,1,0.183947,0.183947
79,1,1,1
80,0.267766,1,1
81,1,1,1
82,1,1,1
83,0.184801,1,1
84,1,0.236539,0.236539
85,1,1,1
86,1,1,1
87,0.301558,1,1
88,1,1,1
89,1,0.209474,0.209474
90,1,1,1
91,1,1,1
92,0.287137,1,1
93,1,1,1
94,1,1,1
95,1,0.185535,0.185535
96,0.0856015,1,1
97,1,1,1
98,1,1,1
99,0.246173,1,1
