,V2,V2,V2
1,1,1,0.110774
2,0.134343,0.0802333,0.0939204
3,1,1,0.0826969
4,1,0.0609828,0.123921
5,1,1,1
6,1,1,0.104212
7,0.126206,1,0.123098
8,1,0.130474,0.167714
9,0.10768,1,0.118932
10,1,0.0359428,1
11,1,0.139148,0.171775
12,0.196677,0.0945601,1
13,1,1,0.173423
14,0.164256,0.12095,1
15,1,0.121185,0.125271
16,0.235246,0.155609,1
17,1,0.268859,0.117693
18,1,1,0.0919462
19,0.240095,0.21821,1
20,1,0.161887,0.132462
21,0.115407,0.0600463,1
22,1,1,0.109417
23,0.192534,0.0527681,1
24,1,1,0.0964824
25,1,1,0.1443
26,0.279668,0.23541,1
27,1,1,0.123765
28,0.0367657,1,1
29,1,1,0.0592765
30,0.0739007,0.0950999,1
31,1,1,0.169795
32,0.188088,1,1
33,1,1,0.116686
34,1,0.0516721,1
35,0.111156,1,0.0481676
36,1,1,1
37,1,1,0.0412635
38,0.0227184,1,0.0286406
39,1,0.10329,1
40,1,1,0.107199
41,1,1,1
42,0.0559015,1,0.23762
43,1,0.103743,1
44,1,1,0.116912
45,0.252494,1,0.0640987
46,1,1,1
47,1,0.111337,0.0773899
48,0.188369,1,1
49,1,1,0.034351
50,1,1,1
51,0.121301,0.0767779,-0.0269343
52,1,1,1
53,1,1,0.0570605
54,0.0491308,1,0.0894058
55,1,0.120398,1
56,0.143434,1,0.0502206
57,1,1,1
58,1,1,0.0856006
59,0.122158,0.115779,1
60,1,1,0.0698008
61,1,1,0.0286543
62,1,1,1
63,0.179004,1,0.0979497
64,1,0.0915218,1
65,0.148451,1,0.0984481
66,1,1,1
67,1,0.200604,0.100746
68,1,1,1
69,0.00518228,1,0.102168
70,1,1,1
71,1,0.131316,0.103864
72,1,1,0.0293554
73,1,1,1
74,1,1,0.162828
75,0.00489716,1,1
76,1,-0.00482642,0.143251
77,1,1,0.119822
78,1,1,1
79,1,1,0.101313
80,1,0.0796598,1
81,1,1,0.0695833
82,1,1,1
83,0.366351,1,0.0708783
84,1,1,1
85,1,0.171542,0.112729
86,1,1,1
87,1,1,0.133415
88,1,1,0.0269702
89,1,1,0.032465
90,1,0.0607887,0.116482
91,1,1,0.0492556
92,1,1,0.0673494
93,0.0362053,1,0.00395249
94,1,0.116093,0.0351987
95,1,1,-0.00229933
96,1,1,0.180107
97,1,1,0.156091
98,1,0.21093,0.226244
99,1,1,0.166278
