,V1,V1,V1
1,0.134586,0.134586,0.134586
2,0.134586,1,0.175409
3,0.232277,0.232277,0.232277
4,0.134586,1,0.175409
5,0.134586,1,1
6,1,1,1
7,0.175409,0.175409,0.175409
8,0.175409,1,1
9,0.175409,1,1
10,1,1,1
11,0.132867,0.132867,0.132867
12,1,1,1
13,1,1,1
14,1,1,1
15,0.0869158,0.0869158,0.0869158
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,0.187422,0.187422,0.187422
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,0.118166,0.118166,0.118166
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,0.102257,0.102257,0.102257
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,0.116598,0.116598,0.116598
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,0.288073,0.288073,0.288073
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,0.0803771,0.0803771,0.0803771
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,0.100665,0.100665,0.100665
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,0.0609769,0.0609769,0.0609769
73,1,1,1
74,1,1,1
75,1,1,1
76,1,1,1
77,1,1,1
78,1,1,1
79,1,1,1
80,0.225037,0.225037,0.225037
81,1,1,0.225037
82,1,1,0.225037
83,1,1,0.225037
84,1,1,0.225037
85,1,1,0.175409
86,1,1,0.175409
87,0.114735,0.114735,0.114735
88,1,1,0.175409
89,1,1,0.175409
90,1,1,0.175409
91,1,1,0.175409
92,1,1,0.175409
93,1,1,0.175409
94,0.0797142,0.0797142,0.0797142
95,0.175409,1,0.175409
96,0.175409,1,0.175409
97,0.175409,1,0.175409
98,0.134586,1,0.175409
99,0.134586,1,0.175409
