,V1,V2,V3
1,1,0.999304,0.998966
2,0.999978,0.999304,0.99947
3,0.999978,1,0.998962
4,1,1,0.999487
5,1,0.999119,0.999863
6,1,0.99912,1
7,1,1,0.998881
8,0.999978,1,0.998985
9,0.999978,0.999118,0.998842
10,1,0.999813,0.999486
11,1,0.999304,0.999487
12,1,1,0.999863
13,1,1,0.999864
14,1,1,0.99929
15,1,1,0.999289
16,1,1,0.999863
17,1,1,1
18,1,0.999303,0.998041
19,1,0.999304,0.997087
20,1,1,0.999022
21,1,1,0.999863
22,1,1,0.99958
23,0.999978,1,0.999444
24,0.999978,1,0.999462
25,1,1,0.99914
26,0.999978,1,0.999499
27,0.999978,1,0.998976
28,1,0.999119,0.99902
29,0.999978,0.99912,0.999335
30,0.999978,1,0.999335
31,1,1,0.999516
32,1,1,0.999653
33,1,1,1
34,1,0.999354,0.99991
35,1,0.999354,0.99915
36,0.999978,0.999304,0.999591
37,0.999978,0.999304,0.998918
38,1,1,0.998919
39,1,1,0.998988
40,1,1,0.999487
41,1,0.999304,0.998712
42,1,0.999303,0.998625
43,0.999978,1,0.998114
44,0.999978,1,0.997716
45,1,1,0.99915
46,1,1,0.999151
47,1,0.999304,0.998558
48,1,0.999813,0.999021
49,1,0.999119,0.999677
50,1,1,1
51,1,1,1
52,1,1,0.999863
53,1,1,1
54,1,0.999304,0.999776
55,1,0.999304,0.999776
56,1,1,0.999102
57,1,1,0.998966
58,1,1,1
59,1,1,1
60,1,0.999304,0.999382
61,0.999978,0.999304,0.999249
62,0.999978,1,1
63,0.999978,1,1
64,0.999978,1,1
65,0.999978,1,0.999023
66,0.999978,0.999304,0.998721
67,1,0.999304,0.998959
68,1,1,0.999864
69,0.999978,1,0.999677
70,0.999978,1,0.999545
71,0.999978,1,0.999863
72,1,0.999304,1
73,0.999978,0.999305,1
74,1,1,1
75,1,1,0.999102
76,0.999978,0.999304,0.998858
77,1,0.998296,0.999123
78,0.999978,0.997736,0.999366
79,0.999978,1,1
80,0.999978,1,0.999863
81,1,1,1
82,1,1,1
83,0.999978,0.999237,0.999653
84,0.999978,0.999515,0.999653
85,0.999978,0.999353,0.999863
86,0.999978,1,0.999863
87,0.999978,1,0.999909
88,1,1,0.998891
89,0.999978,1,0.998936
90,1,1,1
91,0.999978,1,0.999326
92,1,1,0.999326
93,0.999978,1,0.999863
94,0.999978,1,0.99883
95,0.999978,1,0.998832
96,1,1,1
97,1,1,0.99947
98,1,0.999304,0.999337
99,0.999978,0.998299,1
