,V2,V1,V3
1,0.999933,1,0.998497
2,1,1,0.998324
3,1,1,0.998284
4,1,1,0.999524
5,1,1,1
6,1,1,1
7,0.999933,1,0.997899
8,0.999933,1,0.998034
9,1,1,0.999751
10,0.99973,1,0.998202
11,0.99973,1,0.999524
12,1,1,0.997774
13,1,1,0.996974
14,1,1,0.996466
15,1,1,0.99934
16,0.999933,1,0.997198
17,0.999933,1,0.997472
18,0.999933,1,0.99866
19,0.999933,1,0.999084
20,1,1,0.998908
21,1,1,0.998813
22,1,1,0.998653
23,1,1,0.997629
24,0.999731,1,0.99695
25,0.99973,1,0.997721
26,0.99973,1,0.99689
27,0.999731,1,0.997937
28,1,1,0.998106
29,1,1,0.999066
30,1,1,0.9969
31,0.99973,1,0.997772
32,0.999664,1,0.997188
33,0.999664,1,0.997444
34,1,1,0.997821
35,0.99973,1,0.99537
36,1,1,0.995284
37,1,1,0.996994
38,1,1,0.997382
39,1,1,1
40,1,1,0.998803
41,0.99973,1,0.998506
42,0.99973,1,0.999442
43,1,1,0.998504
44,1,1,0.997953
45,0.999933,1,0.999112
46,0.999933,1,0.998245
47,1,1,0.99935
48,1,1,0.999999
49,1,1,0.998885
50,1,1,0.996642
51,1,1,0.9978
52,1,1,0.997209
53,1,1,0.996167
54,1,1,0.996729
55,0.999583,1,0.997162
56,0.999314,1,0.996234
57,0.99973,1,0.998596
58,1,1,0.998571
59,1,1,0.998409
60,1,1,0.998416
61,1,1,0.99859
62,0.99973,1,0.997423
63,0.99973,1,0.998219
64,1,1,0.998226
65,1,1,0.998496
66,1,1,0.997406
67,0.999731,1,0.997781
68,0.99973,1,0.998149
69,1,1,0.998551
70,1,1,0.997446
71,1,1,0.999154
72,1,1,0.998806
73,1,1,1
74,1,1,0.998668
75,0.999731,1,0.998715
76,0.99973,1,0.999187
77,1,1,0.997613
78,0.999731,1,0.998461
79,0.999731,1,0.998531
80,0.999583,1,0.997632
81,0.999583,1,0.997921
82,0.99973,1,0.998128
83,0.99973,1,0.997025
84,1,1,0.994452
85,1,1,0.997117
86,1,1,0.997295
87,1,1,0.998119
88,0.99973,1,0.998103
89,0.999664,1,0.999034
90,0.999664,1,0.997395
91,0.99973,1,0.995601
92,0.99973,1,0.99564
93,1,1,0.998288
94,0.99973,1,0.9974
95,1,1,0.996498
96,1,1,0.997196
97,1,1,0.998027
98,1,1,0.999453
99,1,1,0.999161
