,V1,V2,V3
1,0.744114,0.654983,3.67E-16
2,0.743048,0.654912,4.41E-16
3,0.742802,0.65434,5.14E-16
4,0.74461,0.651912,5.14E-16
5,0.743178,0.62504,4.41E-16
6,0.743022,0.650556,3.67E-16
7,0.743352,0.654226,4.41E-16
8,0.743107,0.653625,4.41E-16
9,0.74347,0.654735,3.67E-16
10,0.743519,0.655793,5.14E-16
11,0.743093,0.651515,3.67E-16
12,0.744065,0.651421,3.67E-16
13,0.743068,0.631803,3.67E-16
14,0.743814,0.628262,3.67E-16
15,0.743191,0.656139,4.41E-16
16,0.743548,0.656297,4.41E-16
17,0.744334,0.628841,2.94E-16
18,0.743633,0.628946,4.41E-16
19,0.743092,0.630613,4.41E-16
20,0.74354,0.652636,4.41E-16
21,0.74304,0.630265,4.41E-16
22,0.743812,0.655783,2.94E-16
23,0.743002,0.657913,4.41E-16
24,0.743793,0.634726,3.67E-16
25,0.743475,0.651418,3.67E-16
26,0.743826,0.654879,3.67E-16
27,0.742628,0.651836,4.41E-16
28,0.743674,0.625386,4.41E-16
29,0.743207,0.633901,3.67E-16
30,0.743288,0.628018,3.67E-16
31,0.743033,0.657324,4.41E-16
32,0.743339,0.629952,4.41E-16
33,0.743311,0.634264,2.94E-16
34,0.743285,0.631122,4.41E-16
35,0.7431,0.630365,3.67E-16
36,0.744253,0.6325,4.41E-16
37,0.744056,0.652261,2.94E-16
38,0.743712,0.625731,2.94E-16
39,0.743337,0.652695,3.67E-16
40,0.743873,0.651682,4.41E-16
41,0.743867,0.631587,4.41E-16
42,0.744196,0.627786,3.67E-16
43,0.744055,0.633665,3.67E-16
44,0.743698,0.628315,4.41E-16
45,0.7425,0.65583,5.88E-16
46,0.744119,0.655534,4.41E-16
47,0.743165,0.628451,3.67E-16
48,0.743796,0.652434,4.41E-16
49,0.744125,0.632952,2.94E-16
50,0.742776,0.632475,4.41E-16
51,0.744004,0.634664,5.14E-16
52,0.744061,0.652116,4.41E-16
53,0.743782,0.656171,3.67E-16
54,0.743833,0.62992,3.67E-16
55,0.743383,0.65486,3.67E-16
56,0.743903,0.63074,5.14E-16
57,0.743776,0.656655,2.94E-16
58,0.742746,0.627652,5.14E-16
59,0.743823,0.65525,4.41E-16
60,0.743029,0.630891,2.94E-16
61,0.744356,0.628058,2.94E-16
62,0.742671,0.627786,5.14E-16
63,0.743737,0.629629,3.67E-16
64,0.743968,0.62684,3.67E-16
65,0.743836,0.656427,4.41E-16
66,0.743676,0.655737,4.41E-16
67,0.743764,0.652004,5.88E-16
68,0.743744,0.657519,5.14E-16
69,0.743539,0.657141,4.41E-16
70,0.743804,0.632137,4.41E-16
71,0.744005,0.628891,5.14E-16
72,0.743787,0.657083,2.94E-16
73,0.743566,0.652254,2.94E-16
74,0.743574,0.654797,2.94E-16
75,0.744114,0.651171,2.94E-16
76,0.744081,0.651581,5.14E-16
77,0.743517,0.628864,4.41E-16
78,0.744362,0.629577,3.67E-16
79,0.743914,0.628801,5.88E-16
80,0.743893,0.631826,4.41E-16
81,0.743268,0.654509,3.67E-16
82,0.743234,0.627611,4.41E-16
83,0.744035,0.628874,3.67E-16
84,0.743622,0.629716,3.67E-16
85,0.743413,0.655876,4.41E-16
86,0.743904,0.628899,5.88E-16
87,0.743413,0.632977,4.41E-16
88,0.74281,0.654161,4.41E-16
89,0.74305,0.653031,4.41E-16
90,0.74313,0.625814,2.20E-16
91,0.742439,0.653398,2.94E-16
92,0.743502,0.628406,4.41E-16
93,0.74288,0.65606,2.20E-16
94,0.743354,0.631994,4.41E-16
95,0.742697,0.63022,2.94E-16
96,0.743575,0.630204,2.94E-16
97,0.744607,0.632959,5.14E-16
98,0.743498,0.654085,5.14E-16
99,0.742801,0.656192,5.88E-16
100,0.744124,0.653211,4.41E-16
