,V1,V2,V3
1,0.986172,0.925047,0
2,0.988314,0.923487,0
3,0.984641,0.930971,0
4,0.989917,0.903186,0
5,0.99436,0.90104,0
6,0.991938,0.925256,0
7,0.996698,0.924086,0
8,0.993588,0.940638,0
9,0.996052,0.937317,0
10,0.988469,0.927822,0
11,0.986648,0.924025,0
12,0.98833,0.904046,0
13,0.987957,0.914395,0
14,0.987362,0.890792,0
15,0.985705,0.922559,0
16,0.990215,0.911779,0
17,0.982928,0.928263,0
18,0.983358,0.922457,0
19,0.986962,0.922632,0
20,0.986001,0.922656,0
21,0.988593,0.911483,0
22,0.989993,0.923987,0
23,0.99006,0.90902,0
24,0.988939,0.920219,0
25,0.990174,0.928132,0
26,0.986294,0.92363,0
27,0.986675,0.908572,0
28,0.987754,0.938251,0
29,0.992344,0.925005,0
30,0.989728,0.910749,0
31,0.98772,0.917987,0
32,0.986493,0.927471,0
33,0.98914,0.930866,0
34,0.987765,0.952222,0
35,0.985019,0.942213,0
36,0.98584,0.908035,0
37,0.984426,0.912677,0
38,0.984639,0.909291,0
39,0.987042,0.945113,0
40,0.985111,0.90667,0
41,0.987735,0.932582,0
42,0.986875,0.933634,0
43,0.988702,0.933658,0
44,0.991134,0.916709,0
45,0.985999,0.931217,0
46,0.987662,0.906757,0
47,0.988442,0.913018,0
48,0.990706,0.907657,0
49,0.984117,0.93679,0
50,0.987555,0.938564,0
51,0.994228,0.91437,0
52,0.989862,0.929044,0
53,0.987054,0.908716,0
54,0.985938,0.911382,0
55,0.985739,0.90791,0
56,0.991783,0.901311,0
57,0.988301,0.906347,0
58,0.990621,0.898103,0
59,0.991626,0.903722,0
60,0.984623,0.923825,0
61,0.981808,0.945672,0
62,0.984311,0.931484,0
63,0.987218,0.939554,0
64,0.984823,0.89859,0
65,0.994332,0.922131,0
66,0.989852,0.917754,0
67,0.997351,0.927602,0
68,0.989448,0.927308,0
69,0.987983,0.916375,0
70,0.990956,0.929176,0
71,0.987328,0.915679,0
72,0.983387,0.930335,0
73,0.987172,0.934765,0
74,0.990499,0.945582,0
75,0.995224,0.931565,0
76,0.984659,0.913456,0
77,0.987347,0.927158,0
78,0.988257,0.939687,0
79,0.988481,0.930746,0
80,0.988327,0.915554,0
81,0.987791,0.906719,0
82,0.986855,0.92295,0
83,0.988708,0.931786,0
84,0.98626,0.908201,0
85,0.989935,0.904243,0
86,0.990072,0.929728,0
87,0.98927,0.908085,0
88,0.986666,0.927462,0
89,0.989402,0.91508,0
90,0.99321,0.918568,0
91,0.992543,0.913284,0
92,0.987899,0.906731,0
93,0.98774,0.919133,0
94,0.988097,0.933624,0
95,0.985295,0.927125,0
96,0.986838,0.939968,0
97,0.9865,0.908948,0
98,0.994145,0.921575,0
99,0.992809,0.931942,0
