,V2,V2,V2
1,0.00815688,0.00860541,0.00687531
2,0.00815688,0.0106246,0.00809637
3,0.00552094,0.00966211,0.00554785
4,0.00759151,0.00876006,0.00554837
5,0.00819266,0.00919863,0.00736841
6,0.00807846,0.00817275,0.00737727
7,0.00413851,0.00596668,0.00549119
8,0.00755132,0.0102524,0.0055455
9,0.00800063,0.00657687,0.00790635
10,0.00842228,0.00685011,0.00487533
11,0.00823447,0.0103254,0.00779293
12,0.00471248,0.00717058,0.00541397
13,0.00555831,0.00584709,0.00799211
14,0.00429616,0.0101261,0.00828777
15,0.0188916,0.00825053,0.00793726
16,0.00794956,0.00671757,0.00449285
17,0.00554638,0.00977564,0.00563666
18,0.00761361,0.00774068,0.00797115
19,0.00587454,0.00718081,0.00577709
20,0.00816369,0.00560104,0.00767186
21,0.00509097,0.0101608,0.00443937
22,0.00600277,0.0097209,0.00503776
23,0.00791823,0.0101955,0.00519393
24,0.00585737,0.00725899,0.00671139
25,0.00496724,0.0105881,0.00777593
26,0.00502942,0.00986545,0.0080418
27,0.00525392,0.00949916,0.00836377
28,0.00649133,0.00775977,0.00590502
29,0.00637936,0.00836733,0.00854186
30,0.00725968,0.006284,0.00541893
31,0.00821467,0.00732744,0.00749463
32,0.00476761,0.00743818,0.00720281
33,0.00473234,0.00746532,0.0168859
34,0.00781098,0.00722874,0.0106205
35,0.00516258,0.00975523,0.00730532
36,0.00841449,0.00648265,0.00785485
37,0.0055899,0.0104255,0.00788281
38,0.00808922,0.00588612,0.00781418
39,0.0079305,0.00999713,0.00780442
40,0.00416614,0.00782429,0.00481337
41,0.00815163,0.0091353,0.00500032
42,0.00780989,0.00963173,0.00795885
43,0.00578897,0.00747391,0.0078974
44,0.00791427,0.00599264,0.00529757
45,0.0077567,0.00845679,0.00844507
46,0.00603189,0.00775254,0.00786384
47,0.00790354,0.00872401,0.00478909
48,0.00806492,0.0104761,0.0183314
49,0.00750475,0.00564184,0.00507533
50,0.00762706,0.00684084,0.00568666
51,0.00741422,0.00902957,0.00544747
52,0.0154987,0.0101985,0.00596813
53,0.00603119,0.00936443,0.00790379
54,0.00612452,0.00523506,0.00823974
55,0.00517222,0.00740985,0.00773273
56,0.00836313,0.00737117,0.00752339
57,0.00422178,0.00974146,0.00560603
58,0.00795524,0.0101039,0.00743248
59,0.0037366,0.0100891,0.0053413
60,0.00982471,0.00769492,0.00644962
61,0.0080134,0.00941543,0.00746738
62,0.00546306,0.00797789,0.00512526
63,0.0187321,0.00835282,0.00775386
64,0.00837303,0.00877122,0.00680294
65,0.00746242,0.00669989,0.00835483
66,0.00497803,0.00971091,0.00609149
67,0.00788241,0.00758373,0.0081263
68,0.00792228,0.0100805,0.00841594
69,0.00662367,0.0101789,0.00986975
70,0.00814601,0.0087307,0.00676317
71,0.00797489,0.0097418,0.00762522
72,0.00863502,0.00721066,0.00593898
73,0.00770512,0.00944563,0.00565252
74,0.00590994,0.00751271,0.00791175
75,0.00838547,0.0075443,0.00506877
76,0.00847888,0.00981673,0.00770612
77,0.00674722,0.00513871,0.00493674
78,0.00804184,0.00825789,0.00624421
79,0.00775242,0.0101831,0.00800708
80,0.00600208,0.0104832,0.00601507
81,0.00826799,0.00806935,0.00734145
82,0.00522297,0.00896752,0.00573986
83,0.00764601,0.00991733,0.00780697
84,0.00791364,0.00798958,0.00656985
85,0.00793215,0.00831622,0.00809257
86,0.00774605,0.00958017,0.00755514
87,0.0034448,0.00744471,0.00793136
88,0.00701501,0.0084311,0.00784645
89,0.0113781,0.0100368,0.00710677
90,0.00576214,0.00966561,0.00762726
91,0.00514171,0.00731488,0.00784531
92,0.00802713,0.00838254,0.00775456
93,0.00500404,0.0102601,0.00789874
94,0.00837043,0.00805445,0.00658008
95,0.00543299,0.0101575,0.00884643
96,0.00854087,0.0100229,0.00809946
97,0.00791218,0.00970735,0.00790503
98,0.00473151,0.0100224,0.00545959
99,0.00515574,0.00986334,0.00788648
100,0.00762525,0.00750589,0.00828138
