,V1,V1,V1
1,-0.193145,-0.193145,-0.193145
2,-0.15665,-0.15665,-0.15665
3,1,1,1
4,-0.185483,-0.185483,-0.185483
5,1,1,1
6,-0.200817,-0.200817,-0.200817
7,1,1,1
8,-0.173711,-0.173711,-0.173711
9,-0.198228,-0.198228,-0.198228
10,-0.144848,-0.144848,-0.144848
11,-0.20058,-0.20058,-0.20058
12,-0.152927,-0.152927,-0.152927
13,1,1,1
14,1,1,1
15,-0.149835,-0.149835,-0.149835
16,1,1,1
17,-0.202787,-0.202787,-0.202787
18,-0.182785,-0.182785,-0.182785
19,-0.15846,-0.15846,-0.15846
20,-0.131448,-0.131448,-0.131448
21,1,1,1
22,1,1,1
23,1,1,1
24,-0.16719,-0.16719,-0.16719
25,1,1,1
26,1,1,1
27,-0.170103,-0.170103,-0.170103
28,-0.17501,-0.17501,-0.17501
29,-0.148795,-0.148795,-0.148795
30,-0.147935,-0.147935,-0.147935
31,-0.156414,-0.156414,-0.156414
32,-0.0951196,-0.0951196,-0.0951196
33,0.102795,0.102795,0.102795
34,0.247528,0.247528,0.247528
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,-0.158329,-0.158329,-0.158329
40,1,1,1
41,-0.154131,-0.154131,-0.154131
42,1,1,1
43,-0.203216,-0.203216,-0.203216
44,-0.182461,-0.182461,-0.182461
45,1,1,1
46,-0.193499,-0.193499,-0.193499
47,-0.164218,-0.164218,-0.164218
48,-0.160291,-0.160291,-0.160291
49,1,1,1
50,1,1,1
51,-0.2566,-0.2566,-0.2566
52,-0.155815,-0.155815,-0.155815
53,1,1,1
54,1,1,1
55,1,1,1
56,-0.188382,-0.188382,-0.188382
57,-0.188492,-0.188492,-0.188492
58,-0.123603,-0.123603,-0.123603
59,1,1,1
60,-0.124882,-0.124882,-0.124882
61,-0.1128,-0.1128,-0.1128
62,-0.139478,-0.139478,-0.139478
63,-0.145805,-0.145805,-0.145805
64,-0.187657,-0.187657,-0.187657
65,-0.152403,-0.152403,-0.152403
66,-0.169522,-0.169522,-0.169522
67,1,1,1
68,0.370892,0.370892,0.370892
69,-0.0242182,-0.0242182,-0.0242182
70,-0.183059,-0.183059,-0.183059
71,-0.16451,-0.16451,-0.16451
72,1,1,1
73,-0.24309,-0.24309,-0.24309
74,-0.147949,-0.147949,-0.147949
75,-0.153862,-0.153862,-0.153862
76,-0.224337,-0.224337,-0.224337
77,1,1,1
78,-0.21175,-0.21175,-0.21175
79,-0.180303,-0.180303,-0.180303
80,-0.187613,-0.187613,-0.187613
81,-0.151533,-0.151533,-0.151533
82,-0.156225,-0.156225,-0.156225
83,-0.128918,-0.128918,-0.128918
84,-0.169674,-0.169674,-0.169674
85,1,1,1
86,1,1,1
87,1,1,1
88,-0.195979,-0.195979,-0.195979
89,-0.217748,-0.217748,-0.217748
90,1,1,1
91,1,1,1
92,1,1,1
93,-0.162119,-0.162119,-0.162119
94,-0.219687,-0.219687,-0.219687
95,1,1,1
96,1,1,1
97,-0.156395,-0.156395,-0.156395
98,-0.174978,-0.174978,-0.174978
99,1,1,1
