,V2,V2,V2
1,0.0838118,0.276593,0.0179095
2,0.0770214,0.272049,0.0171324
3,0.0838118,0.274572,0.0177005
4,0.080751,0.26398,0.0149377
5,0.0812695,0.258277,0.0168323
6,0.0805746,0.255637,0.0168128
7,0.0836923,0.263764,0.0182139
8,0.0782651,0.261399,0.0195442
9,0.0735496,0.256387,0.017687
10,0.078393,0.258323,0.0189619
11,0.0803645,0.210031,0.0171545
12,0.0772053,0.219843,0.0169334
13,0.0793418,0.207162,0.0176229
14,0.0812775,0.214994,-0.00988439
15,0.0788153,0.222479,0.0190137
16,0.0807905,0.218664,0.0118058
17,0.0792118,0.22186,0.0155259
18,0.0827825,0.22416,0.016006
19,0.0839321,0.22499,0.0162996
20,0.0779465,0.309875,0.0185704
21,0.0813318,0.311806,0.0170414
22,0.0810161,0.305471,0.0184428
23,0.0791164,0.31497,0.0186908
24,0.0776859,0.309837,0.0181981
25,0.0903402,0.310956,0.016796
26,0.082553,0.313926,0.0174311
27,0.0821975,0.30894,0.0189271
28,0.081375,0.309208,0.018361
29,0.0823596,0.314924,0.0182116
30,0.0782319,0.311428,0.0173574
31,0.0815297,0.305905,0.0183924
32,0.0758312,0.0847075,0.0159863
33,0.0870433,0.0783214,0.0161027
34,0.0800242,0.0783516,0.0175074
35,0.0821169,0.0869568,0.0179306
36,0.0830601,0.0827945,0.0184723
37,0.0828271,0.0889481,0.0172689
38,0.0819031,0.0821481,0.0178542
39,0.0825789,0.091325,0.01774
40,0.0860922,0.0827296,0.0170462
41,0.0817836,0.0838912,0.0168864
42,0.0772116,0.122759,0.0186507
43,0.0836718,0.107706,0.018413
44,0.0861092,0.119367,0.0188215
45,0.0775843,0.12436,0.0179695
46,0.0806229,0.120304,0.0179176
47,0.0782997,0.116266,0.0189953
48,0.0835709,0.115708,0.0149662
49,0.0758548,0.114746,0.0182345
50,0.0798124,0.12199,0.016156
51,0.0795978,0.118081,0.0174866
52,0.0839511,0.10408,0.0176216
53,0.0835599,0.0642011,0.0165666
54,0.0774716,0.0626162,0.0173668
55,0.0728662,0.0544366,0.016787
56,0.0796665,0.0558471,0.0180033
57,0.0845662,0.0672239,0.0174229
58,0.0774373,0.0622967,0.0190317
59,0.0773623,0.0477884,0.0185548
60,0.0755865,0.0659096,0.0168666
61,0.0813808,0.0551989,0.0152284
62,0.0780849,0.0606065,0.0185038
63,0.0807563,0.061572,0.0186306
64,0.075776,0.16291,0.0182465
65,0.0806257,0.161288,0.015773
66,0.0763988,0.157927,0.0183776
67,0.0760216,0.157786,0.0176641
68,0.0854273,0.161986,0.0189187
69,0.0798428,0.159061,0.0181675
70,0.079886,0.167235,0.0144308
71,0.0803715,0.162598,0.0155148
72,0.0810239,0.162891,0.0188846
73,0.0845646,0.156911,0.0180449
74,0.0835199,0.130539,0.0183144
75,0.0833915,0.127864,0.0178972
76,0.0788335,0.137993,0.0182152
77,0.0806597,0.142229,0.0175811
78,0.078844,0.130214,0.016072
79,0.0794828,0.134404,0.0177265
80,0.0838173,0.138998,0.0273096
81,0.0806642,0.135478,0.0143135
82,0.080778,0.145314,0.0157968
83,0.0795669,0.142275,0.0161263
84,0.0751468,0.139028,0.0176749
85,0.0747128,0.134514,0.0180852
86,0.0785121,0.174639,0.0188241
87,0.0807568,0.17386,0.0129554
88,0.0784905,0.175698,0.0166217
89,0.0768315,0.176558,0.0176439
90,0.0828644,0.174,0.0184554
91,0.0828551,0.174636,0.0175201
92,0.077363,0.171553,0.016773
93,0.0853986,0.182582,0.0166201
94,0.0782649,0.174349,0.0170994
95,0.0787245,0.174823,0.0190163
96,0.0782787,0.178718,0.0162038
97,0.077796,0.173426,0.0186338
98,0.0782605,0.309522,0.0160593
99,0.0773342,0.311733,0.0170683
100,0.0825474,0.319771,0.0176182
