,V1,V1,V1
1,1,1,0.973611
2,1,1,0.97285
3,1,0.470003,0.972702
4,1,0.473107,1
5,1,1,1
6,0.487967,1,1
7,0.455477,1,0.973082
8,1,1,0.972528
9,1,1,0.972872
10,1,0.553862,1
11,0.552014,0.551681,0.972692
12,0.558686,1,1
13,1,-0.00203243,1
14,1,-0.001022,1
15,1,0.282644,0.97331
16,0.282239,0.292052,0.972587
17,0.734377,0.561155,0.972581
18,0.472899,1,1
19,1,0.546818,0.972509
20,1,1,0.973153
21,1,1,0.98602
22,1,1,0.957718
23,1,1,1
24,1,1,0.965126
25,1,0.557238,0.963943
26,1,1,1
27,0.446344,0.533959,1
28,0.457105,1,0.972734
29,0.574722,1,0.972996
30,1,1,1
31,0.249641,0.45453,0.972399
32,0.256754,0.481826,0.938351
33,0.268493,1,0.964196
34,0.455819,1,0.972756
35,0.419329,1,0.973199
36,0.450564,1,0.972748
37,1,1,0.972764
38,1,1,1
39,0.553622,1,0.964547
40,0.555911,1,0.938792
41,1,1,0.973177
42,1,1,0.972647
43,1,1,0.972919
44,1,1,1
45,0.544655,1,1
46,0.554728,1,1
47,1,0.471988,1
48,1,0.4547,1
49,1,1,1
50,1,1,0.972264
51,0.565756,1,0.972606
52,0.555029,1,1
53,0.55069,1,0.973036
54,0.561756,1,0.972505
55,1,1,0.972968
56,1,1,1
57,1,1,0.972743
58,0.284347,1,0.972585
59,0.277249,1,1
60,1,0.555492,0.972822
61,1,0.527129,1
62,1,1,1
63,1,1,1
64,1,0.563926,0.972629
65,0.482552,0.535514,0.972609
66,0.243304,1,0.985502
67,0.538505,1,0.95867
68,1,1,0.972983
69,1,0.46432,1
70,1,0.73836,0.972712
71,1,0.255417,0.973117
72,1,1,1
73,1,1,0.973397
74,0.564996,1,0.972623
75,0.671027,1,1
76,0.275503,1,1
77,1,0.539104,1
78,1,0.560631,0.973297
79,1,0.425047,0.973089
80,1,0.621744,1
81,1,0.257433,1
82,0.447588,1,1
83,0.467278,1,0.97349
84,1,1,0.972571
85,1,1,1
86,1,0.29343,1
87,0.271688,0.266128,1
88,0.272266,1,1
89,1,1,1
90,0.496857,1,0.972641
91,0.440402,1,0.972729
92,1,1,0.972815
93,0.566931,1,0.972578
94,0.543286,1,0.973261
95,1,1,0.973062
96,0.437417,1,0.972948
97,0.424352,0.481833,1
98,1,0.478026,0.972411
99,1,1,1
