,V2,V1,V2
1,0.870818,0.870302,0.884557
2,0.574208,0.577284,0.578529
3,0.571521,0.70094,0.702477
4,0.871345,0.57568,0.714475
5,0.869812,0.883954,0.712071
6,0.877602,0.574796,0.697556
7,0.870818,0.709498,0.571793
8,0.706042,0.699104,0.694821
9,0.709019,0.706991,0.579483
10,0.710312,0.884589,0.798058
11,0.874013,0.70051,0.875621
12,0.8177,0.70954,0.574804
13,0.705387,0.689042,0.70878
14,0.705978,0.814239,0.702665
15,0.87425,0.705053,0.706852
16,0.875368,0.69856,0.706914
17,0.714883,0.700213,0.867308
18,0.702877,0.695763,0.869143
19,0.573733,0.570546,0.883671
20,0.700638,0.861897,0.704894
21,0.572832,0.880696,0.57741
22,0.69324,0.691532,0.696571
23,0.574735,0.764671,0.708767
24,0.709808,0.703985,0.706753
25,0.696803,0.867915,0.703709
26,0.763422,0.762417,0.871565
27,0.706256,0.745958,0.767975
28,0.71131,0.703797,0.755958
29,0.70213,0.696838,0.759353
30,0.707888,0.861506,0.712214
31,0.869021,0.706152,0.705058
32,0.704472,0.708159,0.866939
33,0.574959,0.887564,0.69887
34,0.701537,0.713066,0.86925
35,0.76153,0.885182,0.862432
36,0.755429,0.70011,0.574947
37,0.760489,0.573361,0.568778
38,0.704769,0.885144,0.874438
39,0.574713,0.881169,0.762771
40,0.864112,0.570316,0.708744
41,0.753999,0.884387,0.576812
42,0.706433,0.568731,0.866863
43,0.70187,0.571013,0.887956
44,0.710544,0.701106,0.692662
45,0.764711,0.720078,0.881009
46,0.570366,0.707551,0.872496
47,0.581332,0.703942,0.878163
48,0.883588,0.88446,0.875826
49,0.872818,0.698072,0.710998
50,0.709754,0.69462,0.700085
51,0.879009,0.696561,0.702088
52,0.577409,0.697385,0.575689
53,0.712587,0.850373,0.570317
54,0.863585,0.760573,0.711349
55,0.712158,0.879603,0.573489
56,0.85217,0.878003,0.697296
57,0.698392,0.88222,0.712147
58,0.57224,0.705241,0.70658
59,0.57034,0.874515,0.702675
60,0.571669,0.571433,0.705078
61,0.575542,0.854969,0.762939
62,0.697171,0.698902,0.700254
63,0.708787,0.568939,0.570895
64,0.891082,0.697543,0.770379
65,0.701613,0.87946,0.869018
66,0.851359,0.574445,0.705423
67,0.881431,0.713555,0.573047
68,0.578128,0.872511,0.697797
69,0.698107,0.700121,0.573669
70,0.706142,0.876097,0.690236
71,0.758812,0.705457,0.707124
72,0.758757,0.699651,0.566685
73,0.572522,0.691037,0.705069
74,0.696826,0.703722,0.693084
75,0.764109,0.809029,0.760107
76,0.880636,0.767703,0.707533
77,0.697924,0.703128,0.569177
78,0.574278,0.573609,0.874387
79,0.708162,0.57612,0.573739
80,0.876792,0.575607,0.868088
81,0.706285,0.764863,0.709458
82,0.75819,0.711843,0.569853
83,0.573796,0.707939,0.7039
84,0.574813,0.879356,0.573602
85,0.577897,0.696028,0.706134
86,0.761289,0.696245,0.894903
87,0.757777,0.578221,0.579189
88,0.769462,0.579221,0.70925
89,0.749247,0.770207,0.570216
90,0.574813,0.859618,0.574718
91,0.863468,0.86021,0.57634
92,0.712297,0.764637,0.875729
93,0.704803,0.572797,0.708965
94,0.572385,0.710381,0.711961
95,0.763482,0.813076,0.567023
96,0.758791,0.699522,0.703688
97,0.874745,0.698665,0.57309
98,0.57609,0.742834,0.880435
99,0.762459,0.69757,0.706454
100,0.710177,0.706872,0.708481
