,V1,V2,V3
1,NA,NA,NA
2,0.999459,0.999523,0.999524
3,0.999459,0.999523,0.999524
4,0.999458,0.999523,0.999524
5,0.999459,0.999524,0.999524
6,0.999458,0.999524,0.999524
7,0.999458,0.999523,0.999524
8,0.999459,0.999523,0.999524
9,0.999459,0.999524,0.999524
10,0.999459,0.999524,0.999524
11,0.999459,0.999523,0.999524
12,0.999458,0.999523,0.999524
13,0.999458,0.999523,0.999524
14,0.999459,0.999524,0.999524
15,0.999459,0.999523,0.999524
16,0.999458,0.999523,0.999524
17,0.99946,0.999523,0.999524
18,0.99946,0.999523,0.999524
19,0.999458,0.999523,0.999524
20,0.99946,0.999524,0.999524
21,0.999457,0.999523,0.999524
22,0.999459,0.999523,0.999524
23,0.99946,0.999523,0.999524
24,0.999459,0.999523,0.999524
25,0.999457,0.999523,0.999524
26,0.999459,0.999524,0.999524
27,0.999458,0.999523,0.999524
28,0.999457,0.999524,0.999524
29,0.999459,0.999523,0.999524
30,0.999459,0.999524,0.999524
31,0.999458,0.999523,0.999524
32,0.99946,0.999524,0.999524
33,0.999459,0.999523,0.999524
34,0.999458,0.999524,0.999524
35,0.999458,0.999523,0.999524
36,0.999459,0.999523,0.999524
37,0.999459,0.999523,0.999524
38,0.999458,0.999523,0.999524
39,0.99946,0.999523,0.999524
40,0.99946,0.999523,0.999524
41,0.999459,0.999523,0.999524
42,0.999458,0.999523,0.999524
43,0.999457,0.999523,0.999524
44,0.999461,0.999523,0.999524
45,0.999458,0.999523,0.999524
46,0.999458,0.999523,0.999524
47,0.999457,0.999523,0.999524
48,0.999458,0.999523,0.999524
49,0.999458,0.999523,0.999524
50,0.999456,0.999523,0.999524
51,0.999459,0.999523,0.999524
52,0.999459,0.999523,0.999524
53,0.999458,0.999523,0.999524
54,0.999459,0.999523,0.999524
55,0.999459,0.999523,0.999524
56,0.999457,0.999523,0.999524
57,0.99946,0.999523,0.999524
58,0.999457,0.999523,0.999524
59,0.999459,0.999523,0.999524
60,0.99946,0.999523,0.999524
61,0.999458,0.999523,0.999524
62,0.999458,0.999523,0.999524
63,0.999459,0.999523,0.999524
64,0.999458,0.999523,0.999524
65,0.999458,0.999524,0.999524
66,0.999459,0.999524,0.999524
67,0.99946,0.999523,0.999524
68,0.999459,0.999523,0.999524
69,0.999459,0.999523,0.999524
70,0.999458,0.999523,0.999524
71,0.999458,0.999523,0.999524
72,0.99946,0.999523,0.999524
73,0.999458,0.999523,0.999524
74,0.999458,0.999523,0.999524
75,0.999459,0.999523,0.999524
76,0.99946,0.999524,0.999524
77,0.999458,0.999523,0.999524
78,0.999458,0.999523,0.999524
79,0.999459,0.999523,0.999524
80,0.999459,0.999524,0.999524
81,0.999459,0.999523,0.999524
82,0.999459,0.999523,0.999524
83,0.99946,0.999523,0.999524
84,0.999458,0.999524,0.999524
85,0.999458,0.999523,0.999524
86,0.999458,0.999523,0.999524
87,0.999459,0.999523,0.999524
88,0.999459,0.999523,0.999524
89,0.999458,0.999524,0.999524
90,0.999458,0.999524,0.999524
91,0.999458,0.999523,0.999524
92,0.99946,0.999523,0.999524
93,0.999457,0.999523,0.999524
94,0.99946,0.999524,0.999524
95,0.999459,0.999523,0.999524
96,0.999459,0.999523,0.999524
97,0.99946,0.999523,0.999524
98,0.99946,0.999523,0.999524
99,0.999458,0.999523,0.999524
100,0.99946,0.999523,0.999524
