"","id","word","clust","clust1","clust2","clust3","clust4","clust5","clust6"
"a",1,"a",4,2,1,1,1,5,1
"aa",2,"aa",4,2,1,1,1,5,1
"abel",3,"abel",10,2,1,1,1,10,1
"abil",4,"abil",8,1,1,9,2,2,2
"abl",5,"abl",22,1,1,4,6,7,2
"abnorm",6,"abnorm",4,2,1,1,1,5,1
"abnormalspectrum",7,"abnormalspectrum",4,2,1,1,1,5,1
"abov",8,"abov",6,3,1,6,5,3,3
"aboveaverag",9,"aboveaverag",6,3,1,6,5,3,3
"abra",10,"abra",7,3,1,6,7,3,8
"absenc",11,"absenc",8,4,1,5,2,2,2
"absent",12,"absent",21,1,1,5,2,4,7
"absorb",13,"absorb",12,4,1,5,2,2,9
"absorpt",14,"absorpt",4,2,1,1,1,5,1
"abund",15,"abund",7,3,1,6,7,3,8
"academ",16,"academ",1,5,1,9,4,1,5
"accel",17,"accel",29,4,1,5,2,2,2
"access",18,"access",24,1,1,9,4,1,2
"accommod",19,"accommod",1,6,1,8,3,10,5
"account",20,"account",2,1,1,1,1,9,1
"accret",21,"accret",26,2,1,1,3,7,3
"accur",22,"accur",1,6,1,8,3,10,5
"achiev",23,"achiev",22,1,1,4,6,7,2
"acquir",24,"acquir",23,4,1,5,2,2,2
"act",25,"act",14,4,1,5,2,2,2
"action",26,"action",8,4,1,8,4,2,2
"activ",27,"activ",4,2,4,1,7,5,3
"actual",28,"actual",24,1,1,9,4,1,2
"acut",29,"acut",1,6,1,8,4,1,5
"addit",30,"addit",3,1,1,9,3,3,3
"address",31,"address",1,1,1,8,3,10,3
"adequ",32,"adequ",1,6,1,8,4,1,5
"adjac",33,"adjac",19,3,1,9,8,7,3
"admiss",34,"admiss",1,6,1,8,4,1,5
"admit",35,"admit",1,5,1,9,4,1,5
"adolesc",36,"adolesc",1,6,1,8,4,1,5
"adolescentonset",37,"adolescentonset",1,6,1,8,4,1,5
"adopt",38,"adopt",15,4,1,2,2,8,3
"adult",39,"adult",1,6,1,8,4,1,5
"advanc",40,"advanc",1,3,1,8,4,1,3
"advantag",41,"advantag",27,1,1,6,3,6,3
"adver",42,"adver",32,1,1,5,5,4,2
"aeolian",43,"aeolian",11,3,1,6,7,3,3
"affect",44,"affect",1,1,1,8,4,1,3
"affili",45,"affili",24,1,1,9,4,1,2
"affin",46,"affin",29,4,1,5,2,2,2
"afgl",47,"afgl",10,2,4,1,1,5,1
"age",48,"age",2,2,5,9,1,9,1
"agent",49,"agent",8,1,1,5,2,2,2
"agmon",50,"agmon",33,5,1,9,3,7,4
"agreement",51,"agreement",2,2,1,1,1,9,1
"aid",52,"aid",9,2,1,5,2,5,1
"aim",53,"aim",1,6,1,8,4,1,5
"akin",54,"akin",36,4,1,5,2,2,2
"al",55,"al",4,2,1,9,1,5,1
"algebra",56,"algebra",5,5,1,9,5,10,4
"align",57,"align",9,2,1,1,1,5,1
"allel",58,"allel",23,4,1,5,2,2,2
"alloc",59,"alloc",1,6,3,8,4,1,5
"allow",60,"allow",3,1,2,9,3,7,3
"almost",61,"almost",13,3,1,6,7,4,3
"almostequalto",62,"almostequalto",4,2,4,1,1,5,1
"alon",63,"alon",1,6,1,8,4,1,5
"alpha",64,"alpha",9,2,1,7,1,5,1
"alreadi",65,"alreadi",1,6,1,8,4,1,5
"although",66,"although",1,2,1,8,4,3,3
"altogeth",67,"altogeth",17,1,1,6,3,11,3
"ambient",68,"ambient",17,3,1,3,3,11,10
"ambulatori",69,"ambulatori",1,6,1,8,3,10,5
"america",70,"america",21,1,1,5,2,4,7
"american",71,"american",21,1,1,5,1,4,2
"amorph",72,"amorph",17,3,1,3,3,11,10
"amount",73,"amount",7,3,1,6,7,3,8
"anali",74,"anali",1,6,1,8,4,1,5
"analog",75,"analog",11,3,1,9,8,10,4
"analysi",76,"analysi",7,1,1,9,3,3,3
"analyt",77,"analyt",3,1,1,9,3,7,3
"analyz",78,"analyz",1,6,1,8,4,1,5
"ancona",79,"ancona",17,3,1,3,3,11,10
"andor",80,"andor",26,2,1,4,7,7,3
"angstrom",81,"angstrom",18,2,1,1,1,5,1
"anhedoniaasoci",82,"anhedoniaasoci",1,6,1,8,4,1,5
"ani",83,"ani",3,1,2,9,3,7,3
"annual",84,"annual",6,3,1,6,5,3,3
"annuli",85,"annuli",2,2,1,1,1,9,1
"anom",86,"anom",4,2,1,1,1,5,1
"anoth",87,"anoth",34,2,1,7,1,5,1
"anticip",88,"anticip",1,6,1,8,4,1,5
"antigen",89,"antigen",23,4,1,5,2,2,2
"antipsychot",90,"antipsychot",1,6,1,8,3,10,5
"anxieti",91,"anxieti",1,6,1,8,4,1,5
"apa",92,"apa",1,6,1,8,4,1,5
"apart",93,"apart",1,6,1,8,4,1,5
"aperturesynthesi",94,"aperturesynthesi",9,2,1,7,1,5,1
"apj",95,"apj",4,2,1,1,1,5,1
"apoptot",96,"apoptot",8,4,1,5,2,2,2
"appar",97,"appar",1,2,1,8,3,10,5
"appear",98,"appear",4,2,1,9,1,5,1
"appli",99,"appli",22,1,1,4,6,7,2
"applic",100,"applic",3,2,2,9,3,10,3
"apprai",101,"apprai",1,6,1,8,3,10,5
"approach",102,"approach",3,3,1,9,3,7,3
"appropri",103,"appropri",1,6,1,8,3,10,5
"approxim",104,"approxim",4,2,1,9,1,5,4
"apron",105,"apron",11,3,1,6,7,3,3
"arabidopsi",106,"arabidopsi",14,4,1,5,2,2,6
"arc",107,"arc",11,3,1,6,7,3,3
"arcsec",108,"arcsec",9,2,1,7,1,5,1
"area",109,"area",7,2,1,1,7,3,3
"arecibo",110,"arecibo",10,2,1,1,1,10,1
"argu",111,"argu",4,2,1,1,1,5,1
"ari",112,"ari",4,2,1,1,1,5,1
"arizonanew",113,"arizonanew",31,2,1,4,1,5,1
"array",114,"array",25,2,1,1,1,5,1
"arriv",115,"arriv",16,1,1,6,3,7,2
"articl",116,"articl",1,6,1,8,4,10,5
"ash",117,"ash",13,3,1,6,7,4,3
"ashfal",118,"ashfal",13,3,1,6,7,4,3
"asian",119,"asian",13,3,1,6,7,4,3
"aspect",120,"aspect",1,4,1,9,4,1,5
"assert",121,"assert",1,6,1,8,4,1,5
"assess",122,"assess",1,1,3,8,4,1,3
"asset",123,"asset",28,1,1,5,3,6,2
"assimil",124,"assimil",1,6,1,8,4,1,5
"associ",125,"associ",1,1,3,8,4,1,3
"assum",126,"assum",29,4,1,5,2,2,2
"assumpt",127,"assumpt",19,3,1,9,8,7,3
"asteroid",128,"asteroid",39,2,1,1,1,9,1
"astronom",129,"astronom",10,2,1,1,1,5,1
"asymmetr",130,"asymmetr",22,1,1,4,6,7,2
"asymmetri",131,"asymmetri",10,2,1,1,1,5,1
"atlant",132,"atlant",16,1,1,6,3,7,3
"atp",133,"atp",15,4,1,2,2,8,3
"attempt",134,"attempt",1,2,1,8,3,10,5
"attenu",135,"attenu",29,4,1,5,2,2,2
"attitud",136,"attitud",1,6,1,8,4,1,5
"australia",137,"australia",25,2,1,1,1,5,1
"autarki",138,"autarki",21,1,1,5,2,4,7
"avail",139,"avail",1,2,1,8,3,10,5
"averag",140,"averag",6,3,1,6,5,3,3
"awar",141,"awar",1,6,1,8,3,10,5
"axe",142,"axe",9,2,1,7,1,5,1
"axi",143,"axi",25,2,1,1,1,5,1
"ay",144,"ay",24,1,1,9,4,1,2
"azadeoxycytidin",145,"azadeoxycytidin",14,4,1,5,2,2,6
"b",146,"b",4,1,1,1,1,5,1
"backar",147,"backar",11,3,1,6,7,3,3
"background",148,"background",6,3,1,8,4,3,3
"bacteriophag",149,"bacteriophag",36,4,1,5,2,2,2
"baf",150,"baf",38,4,1,5,2,2,2
"bafdepend",151,"bafdepend",38,4,1,5,2,2,2
"balanc",152,"balanc",35,1,1,6,4,7,3
"balmer",153,"balmer",4,2,1,1,1,5,1
"band",154,"band",9,2,1,7,1,5,1
"bank",155,"bank",9,1,1,1,1,5,1
"bar",156,"bar",5,5,2,9,6,10,4
"bariterich",157,"bariterich",11,3,1,6,7,3,3
"bariumrich",158,"bariumrich",11,3,1,6,7,3,3
"barmu",159,"barmu",5,5,1,9,6,10,4
"basal",160,"basal",8,4,1,5,2,2,2
"basalt",161,"basalt",16,3,1,6,3,7,3
