"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,2,4,2,1,1,1,5,1
"2",3,3,10,2,1,1,1,10,1
"3",6,6,4,2,1,1,1,5,1
"4",7,7,4,2,1,1,1,5,1
"5",14,14,4,2,1,1,1,5,1
"6",27,27,4,2,4,1,7,5,3
"7",55,55,4,2,1,9,1,5,1
"8",62,62,4,2,4,1,1,5,1
"9",83,83,3,1,2,9,3,7,3
"10",86,86,4,2,1,1,1,5,1
"11",95,95,4,2,1,1,1,5,1
"12",97,97,1,2,1,8,3,10,5
"13",98,98,4,2,1,9,1,5,1
"14",100,100,3,2,2,9,3,10,3
"15",104,104,4,2,1,9,1,5,4
"16",109,109,7,2,1,1,7,3,3
"17",110,110,10,2,1,1,1,10,1
"18",111,111,4,2,1,1,1,5,1
"19",112,112,4,2,1,1,1,5,1
"20",134,134,1,2,1,8,3,10,5
"21",139,139,1,2,1,8,3,10,5
"22",146,146,4,1,1,1,1,5,1
"23",153,153,4,2,1,1,1,5,1
"24",162,162,4,2,1,8,1,5,1
"25",180,180,4,2,1,1,1,5,1
"26",185,185,10,2,1,1,1,10,1
"27",206,206,4,2,1,1,1,5,1
"28",207,207,10,2,1,1,1,10,1
"29",210,210,1,2,1,8,3,1,5
"30",214,214,4,2,1,1,1,5,1
"31",224,224,9,1,1,1,3,5,1
"32",230,230,2,2,1,1,1,9,1
"33",242,242,4,2,1,1,1,5,3
"34",243,243,4,1,1,1,1,5,1
"35",264,264,9,2,1,1,1,5,1
"36",273,273,2,2,5,1,1,9,1
"37",290,290,4,2,1,1,1,5,1
"38",293,293,4,2,4,1,1,5,1
"39",294,294,10,1,1,1,3,10,1
"40",304,304,10,1,1,9,1,5,1
"41",305,305,2,2,2,9,1,9,1
"42",314,314,10,2,1,1,1,10,1
"43",332,332,13,1,1,1,3,4,3
"44",344,344,10,2,1,1,1,10,1
"45",350,350,4,2,1,1,1,5,3
"46",365,365,1,1,1,8,3,1,3
"47",369,369,4,2,1,1,1,5,1
"48",371,371,4,2,1,1,1,5,3
"49",380,380,10,2,1,1,1,10,1
"50",398,398,1,1,3,9,4,3,3
"51",410,410,10,2,1,1,1,10,1
"52",444,444,2,2,1,1,1,9,1
"53",445,445,2,2,2,9,1,9,1
"54",457,457,2,1,2,9,1,9,3
"55",477,477,10,2,1,1,1,10,1
"56",483,483,2,2,1,1,1,9,1
"57",484,484,18,2,1,1,1,5,1
"58",502,502,10,2,1,1,1,10,1
"59",522,522,4,2,1,1,1,5,1
"60",556,556,4,2,4,1,1,5,1
"61",567,567,4,2,4,1,1,5,2
"62",578,578,1,2,1,8,3,5,3
"63",583,583,4,2,1,1,1,5,1
"64",600,600,4,2,1,9,1,5,1
"65",610,610,1,1,4,1,1,10,3
"66",619,619,4,1,1,9,1,5,1
"67",622,622,10,2,1,1,1,10,1
"68",623,623,2,2,1,1,1,9,1
"69",628,628,2,2,1,1,1,9,1
"70",655,655,2,2,1,1,1,9,1
"71",662,662,2,1,1,1,1,5,1
"72",668,668,4,2,1,1,1,5,1
"73",673,673,2,1,4,1,1,9,3
"74",700,700,4,2,1,1,1,5,3
"75",701,701,2,2,4,1,1,5,1
"76",703,703,10,2,1,1,1,10,1
"77",705,705,4,1,1,1,1,5,1
"78",709,709,4,2,1,8,1,5,1
"79",714,714,4,2,1,1,1,5,1
"80",715,715,4,2,1,9,1,5,1
"81",719,719,2,2,4,1,1,5,1
"82",767,767,25,2,4,1,1,5,1
"83",777,777,4,2,1,1,1,5,1
"84",783,783,4,2,1,1,1,5,1
"85",785,785,25,2,1,1,1,5,1
"86",804,804,1,1,3,8,4,5,3
"87",810,810,4,2,1,1,1,5,1
"88",823,823,9,2,1,9,2,5,3
"89",825,825,4,2,1,1,1,5,1
"90",853,853,10,1,4,5,3,5,3
"91",889,889,4,1,1,1,1,5,1
"92",930,930,4,2,1,1,1,5,1
"93",938,938,4,2,1,1,1,5,1
"94",941,941,3,2,1,9,3,7,3
"95",945,945,4,2,1,9,1,5,1
"96",952,952,4,2,4,1,1,5,1
"97",958,958,4,2,1,1,1,5,1
"98",980,980,4,2,4,1,1,5,1
"99",985,985,10,2,1,1,1,10,1
"100",996,996,4,2,4,9,1,5,4
"101",1014,1014,2,2,1,1,1,9,1
"102",1015,1015,2,1,4,1,1,9,1
"103",1031,1031,22,1,1,1,1,7,3
"104",1048,1048,4,2,1,1,1,5,1
"105",1088,1088,4,2,1,1,1,5,1
"106",1096,1096,4,2,1,1,1,5,1
"107",1100,1100,4,2,6,8,1,5,1
"108",1117,1117,4,2,4,1,1,5,1
"109",1127,1127,4,2,1,1,1,5,1
"110",1181,1181,4,2,1,1,1,5,1
"111",1189,1189,4,2,1,1,1,5,2
"112",1195,1195,4,2,1,1,1,5,1
"113",1197,1197,10,1,4,1,3,10,3
"114",1198,1198,4,2,1,9,1,5,1
"115",1199,1199,4,2,1,9,2,5,3
"116",1238,1238,4,2,1,1,1,5,1
"117",1266,1266,4,2,4,1,1,5,1
"118",1291,1291,10,2,1,1,1,10,1
"119",1298,1298,10,2,1,1,1,10,1
"120",1343,1343,2,2,4,9,1,9,1
"121",1359,1359,10,2,1,1,1,10,1
"122",1360,1360,10,2,1,9,1,10,1
"123",1361,1361,2,1,1,1,1,9,1
"124",1364,1364,10,2,1,1,1,5,1
"125",1433,1433,4,2,4,9,1,5,1
"126",1450,1450,4,2,1,8,1,5,1
"127",1461,1461,2,2,1,1,1,9,1
"128",1465,1465,4,2,4,1,1,5,1
"129",1475,1475,10,2,4,9,3,7,3
"130",1491,1491,4,2,1,1,1,5,1
"131",1501,1501,1,2,1,9,3,10,3
"132",1512,1512,1,1,2,9,4,7,3
"133",1551,1551,4,1,4,8,1,5,1
"134",1573,1573,4,2,1,8,1,5,1
"135",1584,1584,4,1,1,1,1,5,1
"136",1593,1593,2,2,1,1,1,9,1
"137",1606,1606,4,2,1,1,1,5,1
"138",1620,1620,8,1,1,1,3,2,2
"139",1622,1622,3,1,3,9,4,3,3
"140",1624,1624,2,2,4,1,1,9,1
"141",1668,1668,1,2,1,8,4,5,3
"142",1670,1670,4,2,4,1,1,5,1
"143",1671,1671,4,2,1,1,1,5,1
"144",1672,1672,4,2,1,1,1,5,1
"145",1679,1679,4,2,4,1,1,5,1
"146",1689,1689,2,2,5,1,1,9,1
"147",1691,1691,4,2,1,1,1,5,1
"148",1701,1701,5,2,1,9,3,10,1
"149",1716,1716,1,1,3,9,4,1,3
"150",1753,1753,4,2,1,1,1,5,1
"151",1759,1759,4,2,1,1,1,5,1
"152",1766,1766,10,2,1,1,1,10,1
"153",1770,1770,4,2,1,1,1,5,1
"154",1777,1777,4,2,1,1,1,5,1
"155",1789,1789,10,2,1,8,4,2,3
"156",1839,1839,10,2,1,1,1,10,1
"157",1847,1847,1,1,4,9,3,10,3
"158",1851,1851,2,1,2,9,1,9,3
